SERIAL;JOURV2;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A3_0;A3_1;A3BIS;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A6_5;A6_6;A6_7;A6_8;A6_9;A6_10;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;C1C2;C3;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;D7_0;D7_1;D7_2;D8_0;D8_1;D8_2;D9;D10;D11_0;D11_1;D11_2;D11_3;D11_4;D11_5;D11_6;D12;D13;D14_0;D14_1;D14_2;D14_3;D14_4;D14_5;D14_6;D14_7;D14_8;D14_9;D14_10
4274;6;1;1;2;69;11;1;3;1;2;4;3;1;2;;3;;2;2;;2;2;1;2;2;1;2;2;2;2;2;8;1;3;6;6;1;2;1;2;6;45;2;;;;;0;2;;2;2;2;2;2;2;2;2;3;3;3;3;5;;;;1;69;11;4;2;0;0;5;2;3;2;;;;3;2;5;2;2;2;2;2;4;4;2;1;1;3;2;1;1;1;2;1;1;1
4275;6;1;1;1;85;7;3;8;8;1;3;4;7;2;;3;;2;2;;2;2;1;1;1;2;2;2;2;2;2;6;1;2;1;1;1;5;1;2;4;150;1;2;;;;2;2;;2;3;2;2;2;2;2;2;4;4;4;3;;;;;1;85;7;3;1;0;0;4;4;4;1;;;;3;2;2;2;1;2;1;1;4;4;2;2;3;1;2;3;1;1;2;4;4;2
4276;6;2;2;6;25;3;4;1;4;5;1;2;3;3;;3;;2;2;;2;2;1;2;2;2;2;2;2;2;2;10;1;4;1;1;1;1;1;1;4;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;4;3;3;4;5;;;;1;25;3;4;2;1;0;5;;;;;;;3;1;2;3;2;2;2;1;2;;2;1;1;2;1;1;1;1;1;1;1;1
4277;6;1;2;1;77;1;5;8;8;1;1;7;2;2;;3;;1;2;;2;2;1;1;2;2;2;2;2;2;2;7;3;2;2;5;3;1;1;1;6;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;3;4;3;1;;;;;1;77;1;6;6;3;3;6;4;5;1;;;;2;1;4;1;1;2;3;1;4;3;1;1;1;2;2;1;1;2;1;2;2;2
4278;6;1;1;5;57;6;4;1;6;1;6;8;9;2;;1;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;4;1;1;1;1;1;1;3;600;1;4;;;;2;2;;2;2;2;2;2;2;2;2;4;4;4;4;1;;;;1;57;6;2;1;0;0;4;3;3;2;;;;3;2;2;2;2;3;2;2;3;3;2;2;2;2;2;2;2;2;2;2;1;2
4279;6;1;2;9;61;4;3;7;7;3;1;8;2;2;;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;9;3;4;2;2;2;1;1;2;4;0;;;;;;2;3;2;2;2;2;2;2;2;2;2;4;4;3;4;;;;;1;61;4;4;2;0;1;3;5;3;1;;;;2;1;2;1;1;2;1;1;3;3;3;1;1;1;1;1;1;1;1;1;2;1
4280;6;3;2;5;49;7;3;1;4;3;1;2;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;1;1;1;2;3;0;;;;;;0;3;2;2;2;2;2;2;1;2;2;3;3;4;4;1;;;;1;49;7;5;4;2;0;4;5;2;2;;;;2;2;5;2;2;2;2;1;3;2;3;1;1;3;2;1;1;2;2;1;1;2
4281;6;1;1;6;38;11;1;1;3;7;1;2;9;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;1;1;1;1;6;0;;;;;;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;1;38;11;6;2;2;0;5;2;5;1;;;;3;1;2;1;2;5;2;1;4;5;4;2;2;3;2;2;2;2;2;2;2;2
4282;6;1;2;5;26;11;1;4;5;2;1;7;10;2;;3;;1;2;;2;2;1;2;2;2;2;2;2;2;2;9;1;6;1;1;1;1;1;1;4;0;;;;;;0;2;2;2;2;2;1;2;2;1;2;4;2;2;1;5;;;;1;26;11;5;2;0;0;3;5;1;1;;;;1;2;1;1;1;2;1;1;4;1;3;1;1;1;1;1;1;1;1;1;1;1
4283;6;2;2;3;27;4;1;1;5;2;6;3;9;2;;3;;1;2;;2;2;2;1;2;2;2;2;1;2;2;7;1;1;1;1;1;1;1;1;3;0;;;;;;2;2;2;2;2;2;2;2;2;3;2;2;3;2;2;4;;;;1;27;4;4;2;0;0;6;3;2;1;;;;4;2;1;1;2;3;2;2;3;3;2;1;1;3;2;1;1;2;2;1;2;3
4284;6;1;1;6;34;10;2;1;3;3;1;5;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;2;1;1;1;1;2;2;20;2;;;;;0;3;;2;2;2;2;2;2;2;2;4;3;4;4;5;;;;1;34;10;5;3;1;1;5;3;2;2;;;;2;2;2;1;2;2;2;1;3;5;3;1;2;2;2;1;2;2;2;1;2;2
4285;6;1;2;4;78;1;5;1;4;3;8;1;7;2;;3;;2;2;;2;2;1;1;2;2;2;2;2;2;2;8;2;4;2;1;2;1;1;2;6;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;3;4;4;4;3;;;;1;78;1;5;3;1;0;6;2;3;3;;;;2;2;3;1;1;4;3;1;4;3;1;3;2;3;3;2;2;1;1;1;2;1
4286;6;1;2;6;67;6;4;1;5;5;1;6;8;1;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;4;0;;;;;;0;4;2;2;2;2;2;2;2;2;2;1;1;1;1;3;;;;1;67;6;3;1;0;0;4;;;;4;3;1;1;5;2;1;1;2;5;1;4;;5;1;1;4;1;2;1;1;1;1;2;1
4287;6;1;2;8;22;8;2;1;4;3;4;3;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;4;2;1;2;1;1;2;6;0;;;;;;0;2;2;2;3;2;2;2;1;2;2;4;4;3;4;3;;;;1;22;8;7;3;0;0;6;5;2;2;;;;3;2;3;1;2;2;2;1;3;3;3;1;1;2;1;1;1;2;1;1;1;1
4288;6;2;1;4;6;12;3;1;5;3;3;9;2;2;;3;;2;2;;2;2;1;2;2;2;2;2;2;2;2;8;2;3;1;1;1;1;1;1;4;60;2;;;;;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;1;;;;1;6;12;5;2;0;0;4;3;3;3;;;;4;2;2;1;1;3;1;1;3;3;1;1;1;1;1;1;1;1;1;1;1;2
4289;6;3;1;9;67;6;1;7;7;3;8;5;2;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;2;1;2;1;2;1;60;1;;;;;0;5;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;67;6;6;2;0;0;3;4;4;4;;;;5;4;4;4;4;3;4;4;4;5;4;2;2;2;2;2;2;2;2;3;2;2
4290;6;1;2;8;12;10;2;7;7;5;1;2;10;2;;3;;2;2;;1;2;1;2;2;2;2;1;2;2;2;10;1;6;1;1;1;1;1;1;6;0;;;;;;0;4;2;2;2;1;2;2;2;2;2;4;4;4;3;;;;;1;12;10;6;2;0;0;4;3;1;1;;;;1;2;2;1;1;2;1;1;4;1;1;1;1;3;1;1;1;1;1;1;1;1
4291;6;1;2;7;37;2;4;1;6;3;1;2;6;2;;3;;2;2;;2;2;2;2;1;2;2;2;2;2;2;10;1;4;1;1;3;2;1;1;3;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;3;3;4;3;4;;;;1;37;2;5;2;0;0;5;5;2;1;;;;2;1;2;2;1;2;1;1;3;5;3;1;1;2;1;1;1;1;1;1;1;1
4292;6;2;2;6;15;11;3;2;5;4;2;7;5;2;;3;;2;2;;2;3;3;3;1;2;2;1;1;2;2;8;1;6;2;1;1;1;1;1;6;30;3;;;;;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;8;;;;1;15;11;4;1;1;0;4;3;1;2;;;;1;2;1;1;1;2;2;1;4;3;3;1;1;4;2;1;1;1;1;1;4;2
4293;6;1;2;4;54;6;1;1;5;5;7;2;1;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;5;4;1;1;1;1;1;5;0;;;;;;0;4;2;2;2;2;2;2;2;2;2;4;4;4;4;5;;;;1;54;6;7;4;2;0;5;3;4;1;;;;2;2;2;2;1;2;2;2;2;3;3;1;1;3;2;1;2;1;1;1;2;1
4294;6;1;1;9;60;5;3;5;8;1;9;10;1;2;;3;;1;2;;1;2;2;2;2;2;2;2;2;2;2;9;2;2;4;1;1;2;1;2;3;0;;;;;;0;1;;1;2;2;2;2;1;1;1;2;4;4;1;;;;;1;60;5;3;1;0;0;4;2;1;1;;;;1;2;2;1;5;2;3;1;1;1;2;1;1;4;1;2;2;1;1;2;3;2
4295;6;1;2;7;38;11;3;1;4;3;1;6;9;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;3;2;3;1;1;1;2;6;60;2;;;;;0;2;2;2;2;2;2;2;2;2;2;4;3;3;4;3;5;;;1;38;11;6;3;0;0;4;3;3;2;;;;3;2;3;2;2;2;2;2;4;3;3;1;1;4;1;1;1;1;1;1;1;1
4296;6;1;1;7;33;9;4;4;6;1;2;1;10;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;2;2;1;1;1;2;2;60;1;;;;;0;2;;2;2;2;2;2;2;2;2;4;3;4;4;2;3;;;1;33;9;5;1;0;0;3;2;3;2;;;;2;2;3;1;1;2;2;1;4;4;1;1;1;1;1;1;2;1;1;1;1;1
4297;6;1;1;7;69;11;3;1;4;3;1;8;2;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;3;1;2;1;2;1;2;2;0;;;;;;2;3;;1;2;2;2;2;2;2;2;4;4;4;4;1;;;;1;69;11;11;4;0;0;3;4;2;1;;;;3;1;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2
4298;6;1;1;5;6;12;4;1;4;3;8;5;2;2;;3;;3;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;3;3;2;1;1;1;1;6;5;5;;;;;0;4;;2;2;2;2;2;2;3;2;4;3;3;3;4;;;;1;6;12;4;4;2;0;4;4;1;1;;;;2;2;3;1;5;4;2;1;4;2;2;1;1;1;1;1;1;1;1;1;2;1
4299;6;1;2;4;62;5;4;1;5;3;8;2;7;2;;1;;2;2;;2;2;1;2;1;2;2;2;2;2;2;10;1;2;1;1;1;1;1;2;2;0;;;;;;0;3;2;2;2;2;2;2;2;2;2;2;1;1;3;1;;;;1;62;5;4;4;2;0;5;2;2;2;;;;1;3;2;2;2;3;3;2;2;2;3;1;1;2;1;1;1;1;1;1;2;1
4300;6;1;2;6;62;5;4;2;4;7;1;8;10;1;2;2;;1;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;2;1;45;1;;;;;0;2;2;2;2;2;2;2;2;2;2;1;1;3;2;1;;;;1;62;5;6;3;0;0;6;;;;3;3;1;1;1;2;1;1;3;2;1;3;;2;2;2;3;2;2;2;2;2;1;2;3
4301;6;2;2;4;92;1;5;2;5;2;2;1;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;2;2;1;1;1;3;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;3;4;3;4;1;;;;1;92;1;3;2;0;0;4;2;3;2;;;;3;2;2;1;1;3;2;1;4;3;2;2;1;3;1;2;1;1;2;1;2;2
4302;6;2;2;7;75;1;5;1;4;7;1;5;2;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;1;1;1;1;3;60;2;;;;;1;3;2;2;2;2;2;2;2;2;2;3;4;4;3;3;5;;;1;75;1;5;3;1;0;6;5;2;2;;;;1;2;2;1;2;5;3;1;4;2;4;2;2;2;2;3;2;1;2;3;3;1
4303;6;1;2;9;62;5;3;7;7;3;1;6;3;2;;3;;2;2;;1;2;2;2;2;2;2;2;2;2;2;9;1;2;1;1;1;1;1;1;4;0;;;;;;0;3;2;2;3;3;2;2;1;2;2;3;3;4;4;;;;;1;62;5;6;2;0;0;3;5;5;5;;;;3;2;3;2;2;2;2;1;4;2;3;1;1;2;2;1;1;1;1;2;1;1
4304;6;2;2;4;27;4;1;1;5;3;1;2;8;1;3;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;3;1;2;1;1;2;4;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;1;1;2;2;4;;;;1;27;4;6;5;3;0;3;;;;2;4;3;2;1;1;1;2;2;2;1;3;;1;1;1;4;3;1;1;1;1;1;1;3
4305;6;2;1;2;10;6;1;3;1;2;6;2;1;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;2;1;1;1;1;1;2;4;720;4;;;;;0;2;;2;2;2;2;2;2;2;2;4;4;4;4;1;;;;1;10;6;8;3;1;0;4;4;3;1;;;;2;5;1;1;1;3;3;1;4;3;1;1;1;1;1;1;1;1;2;3;1;1
4306;6;1;2;8;34;10;4;1;5;2;8;2;1;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;3;2;4;1;1;1;1;4;70;2;;;;;0;3;2;2;2;2;2;2;2;2;2;1;4;4;2;2;;;;1;34;10;4;2;0;0;3;3;2;2;;;;3;2;3;2;5;2;2;2;4;3;2;2;3;3;2;1;1;1;1;2;1;1
4307;6;1;1;5;93;1;5;1;3;3;8;6;7;1;3;2;;1;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;2;1;2;2;4;0;;;;;;0;3;;2;2;2;2;2;2;2;2;3;1;2;2;3;;;;1;93;1;4;2;1;0;5;;;;2;3;1;1;2;2;2;1;2;1;3;2;;2;2;2;1;2;3;2;2;2;1;3;1
4308;6;1;1;6;41;2;2;1;5;7;8;5;4;2;;2;;2;2;;2;2;2;2;1;2;2;2;2;2;2;8;1;2;1;1;2;1;1;2;2;750;4;;;;;50;2;;2;2;2;2;2;2;2;2;4;4;4;3;1;8;;;1;41;2;8;2;0;0;5;4;2;1;;;;3;2;2;2;2;3;2;1;3;2;1;1;1;2;2;1;2;1;1;1;1;1
4309;6;1;1;6;29;8;4;1;6;7;3;4;1;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;3;6;1;1;1;1;1;1;5;60;2;;;;;0;2;;2;2;2;2;2;2;2;2;4;3;4;3;4;;;;1;29;8;5;4;2;0;6;3;3;1;;;;4;2;2;2;2;2;2;2;4;4;2;1;2;2;2;2;3;2;2;1;3;2
4310;6;1;1;7;31;10;4;1;4;1;1;6;3;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;2;2;1;1;1;1;1;1;60;5;;;;;0;3;;2;2;2;2;2;2;2;2;4;3;3;4;3;5;;;1;31;10;5;1;0;1;6;3;5;1;;;;3;1;2;1;1;2;2;1;4;5;1;1;1;1;1;1;1;1;1;1;1;1
4311;6;2;2;4;56;8;1;6;8;2;1;6;3;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;2;3;2;2;2;2;2;2;5;20;1;;;;;3;3;2;2;2;2;2;2;2;2;2;4;3;4;3;;;;;1;56;8;7;6;3;0;4;3;3;2;;;;4;2;2;2;2;2;2;2;3;3;1;2;2;3;2;1;2;2;2;1;1;3
4312;6;2;2;2;13;12;4;1;3;1;9;8;6;3;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;4;1;1;2;1;1;1;6;0;;;;;;0;1;2;2;2;1;2;2;2;2;2;2;1;1;2;3;;;;2;78;1;1;2;0;0;6;;;;;;;2;2;3;1;1;3;2;1;4;;3;1;1;1;1;1;1;1;1;1;1;1
4313;6;1;2;9;78;1;5;7;7;3;1;2;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;3;3;3;2;4;1;1;1;3;60;1;2;;;;0;2;2;2;2;2;2;2;2;2;2;4;4;4;3;;;;;1;78;1;4;2;0;0;5;3;3;2;;;;3;2;2;2;2;2;2;1;3;3;1;1;3;4;3;2;2;2;2;3;3;2
4314;6;1;2;3;31;10;4;3;6;1;1;4;7;2;;3;;2;2;;1;2;1;2;1;2;2;2;1;2;2;10;1;4;1;1;1;2;1;2;2;150;1;4;;;;5;3;2;2;2;2;2;2;2;2;2;3;3;3;3;1;;;;1;31;10;2;1;0;0;4;3;2;1;;;;2;2;2;1;1;3;2;1;3;3;2;1;1;1;1;1;1;1;1;2;1;1
4315;6;1;2;5;45;2;4;6;8;3;1;2;7;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;1;6;6;1;6;0;;;;;;0;4;2;2;2;2;2;2;2;2;2;4;3;4;4;;;;;1;45;2;10;7;5;0;6;5;5;1;;;;2;2;2;1;1;1;1;2;4;3;4;1;1;1;1;1;1;1;1;1;2;1
4316;6;1;2;3;80;5;4;1;3;7;1;3;4;2;;2;;1;2;;2;2;2;1;2;1;2;1;2;2;2;8;1;2;2;2;1;1;1;1;6;30;1;;;;;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;;;;1;80;5;4;2;2;0;6;2;3;3;;;;2;3;2;2;2;2;2;1;2;3;3;1;1;4;2;1;1;1;1;1;1;1
4317;6;2;2;8;62;5;3;1;5;3;1;10;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;1;1;1;2;2;0;;;;;;0;3;2;2;2;2;2;2;2;2;2;4;4;4;4;2;;;;1;62;5;4;2;0;0;3;4;5;1;;;;2;2;5;1;1;2;2;2;3;5;2;1;1;3;1;1;1;1;1;1;1;1
4318;6;1;2;6;77;1;2;1;4;1;1;4;5;1;3;3;;2;2;;2;2;2;2;2;2;2;1;2;2;2;10;2;4;2;1;4;1;1;1;6;90;2;4;;;;10;4;2;2;2;2;2;2;2;2;2;3;2;1;1;1;3;;;1;77;1;3;2;1;0;6;;;;2;3;2;1;2;2;1;2;3;3;1;2;;4;1;1;2;2;4;2;1;2;1;3;1
4319;6;1;1;1;75;1;5;8;8;1;1;4;7;1;3;3;;2;1;38.2;1;2;1;1;1;2;1;2;2;2;2;7;2;6;3;1;1;3;1;1;6;60;2;;;;;0;2;;2;2;2;2;2;2;2;2;3;2;4;1;;;;;2;;13;5;3;1;0;4;;;;3;3;2;3;2;3;3;3;3;2;4;3;;2;2;1;2;3;2;1;1;2;3;3;1
4320;6;1;2;4;92;1;5;1;3;1;4;10;3;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;2;1;1;1;1;1;6;30;1;;;;;3;2;2;2;2;2;2;2;2;2;2;3;3;4;4;3;;;;1;92;1;3;3;1;0;6;5;5;2;;;;2;2;2;5;5;2;2;1;2;3;2;1;1;2;1;1;1;1;1;1;1;1
4321;6;1;1;1;69;11;4;8;8;1;1;3;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;2;4;1;1;1;1;3;0;;;;;;0;2;;2;2;2;2;2;2;2;2;3;3;4;3;;;;;1;69;11;1;1;0;0;8;4;4;4;;;;3;2;3;2;3;3;3;3;2;3;2;3;1;2;1;1;1;1;2;1;1;1
4322;6;2;2;5;69;11;4;1;3;3;1;6;11;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;1;1;1;1;6;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;1;69;11;5;2;2;0;6;4;3;1;;;;2;1;2;1;1;2;1;1;4;3;1;1;2;2;1;1;1;1;1;1;1;1
4323;6;1;1;5;38;11;1;1;3;1;1;3;8;2;;3;;2;2;;2;2;2;2;2;1;2;2;2;2;2;9;1;2;1;2;1;1;1;1;4;0;;;;;;0;1;;2;2;2;2;2;2;2;2;3;1;3;3;3;;;;1;38;11;7;1;0;0;6;3;2;1;;;;1;1;2;1;1;2;1;1;4;2;3;2;2;4;2;2;2;2;2;1;3;2
4324;6;1;2;5;31;10;4;2;4;3;4;1;8;2;;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;4;1;1;1;1;1;2;3;90;1;2;;;;2;4;2;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;1;31;10;5;2;0;0;5;3;3;2;;;;3;2;2;1;1;2;1;1;3;3;3;1;1;4;2;1;1;2;2;1;2;2
4325;6;1;2;4;61;4;1;3;1;1;8;3;2;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;5;3;3;2;1;2;6;5;480;1;4;5;;;0;4;2;2;2;2;2;2;2;2;2;3;3;4;4;1;2;;;1;61;4;4;1;0;0;5;2;3;2;;;;4;2;3;2;5;1;2;2;2;3;1;4;3;4;3;1;3;2;2;4;2;3
4326;6;1;2;7;84;12;4;1;5;1;1;8;7;2;;3;;2;2;;1;2;2;2;2;2;2;1;2;2;2;10;2;6;2;2;1;1;1;1;3;165;1;2;3;;;10;3;2;2;2;2;2;2;2;2;2;4;1;1;3;6;;;;1;84;12;5;2;1;0;5;2;2;2;;;;1;2;3;1;1;2;1;1;2;2;4;3;1;2;2;1;1;2;1;1;3;1
4327;6;1;2;6;31;10;4;1;4;2;1;8;3;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;4;3;1;1;1;1;1;6;60;2;;;;;20;5;2;2;2;2;2;2;2;2;2;3;3;4;4;3;;;;1;31;10;3;2;2;0;6;5;5;2;;;;2;2;2;2;2;3;3;1;4;5;4;1;1;3;1;1;1;1;1;1;2;1
4328;6;1;1;6;11;10;2;3;2;3;2;1;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;4;1;1;1;1;1;1;1;0;;;;;;0;2;;2;2;2;2;2;1;2;2;4;3;4;4;6;;;;1;11;10;1;2;0;0;5;4;1;1;;;;2;3;1;1;1;4;1;1;4;2;3;2;1;1;2;1;1;1;1;1;1;1
4329;6;1;2;6;6;12;4;6;8;3;1;2;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;3;1;1;2;1;1;1;6;0;;;;;;0;1;2;2;2;2;2;2;2;2;2;4;4;3;4;;;;;1;6;12;5;3;1;0;2;2;5;1;;;;2;2;2;2;2;2;2;1;4;3;3;1;2;2;2;1;1;1;1;1;1;2
4330;6;3;2;5;76;4;2;1;5;3;1;2;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;4;1;3;1;7;1;1;1;1;6;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;1;;;;1;76;4;6;4;1;0;5;2;4;1;;;;3;2;2;1;1;3;2;1;3;4;1;2;2;2;2;2;2;2;2;1;2;2
4331;6;1;2;8;13;12;4;4;4;3;6;1;9;1;5;2;;2;2;;1;2;1;2;1;2;2;2;1;2;1;8;1;3;1;1;1;1;1;2;5;60;2;;;;;0;2;2;2;2;2;2;2;2;2;2;3;3;3;3;5;;;;1;13;12;4;2;0;0;5;;;;4;4;1;2;2;2;1;1;2;2;1;4;;2;1;1;4;1;2;2;1;1;1;2;1
4332;6;2;1;8;28;2;1;1;6;3;1;2;10;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;4;1;1;2;1;1;2;4;480;2;4;;;;3;2;;2;2;2;2;2;2;2;2;4;4;4;3;1;;;;1;28;2;5;4;0;0;3;2;4;1;;;;3;2;3;1;1;2;2;1;2;4;2;1;2;2;1;1;1;1;1;1;3;1
4333;6;2;2;4;22;8;2;1;5;3;8;2;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;2;1;1;1;1;1;1;4;60;2;;;;;0;3;2;2;2;2;2;2;2;2;2;4;3;4;4;3;;;;1;22;8;7;4;2;0;5;3;2;2;;;;2;2;3;2;2;2;2;2;3;3;2;1;2;3;2;2;1;1;2;1;3;1
4334;6;1;2;8;69;11;4;3;2;3;1;3;9;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;4;1;2;1;1;1;2;2;0;;;;;;0;2;3;2;2;2;2;2;2;2;2;3;3;4;4;1;;;;1;69;11;6;4;0;0;5;5;5;2;;;;3;2;2;1;1;3;2;1;2;3;2;2;2;4;2;2;2;2;2;1;3;2
4335;6;1;1;2;3;11;1;1;6;3;2;5;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;1;2;1;1;1;1;1;2;2;0;;;;;;0;3;;2;2;2;2;2;2;2;2;3;2;3;2;1;;;;1;3;11;4;2;1;0;6;4;4;1;;;;3;2;1;2;1;2;2;1;2;3;2;1;1;2;1;1;1;1;1;1;2;1
4336;6;1;2;7;73;11;4;2;4;4;3;8;1;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;2;3;1;1;1;2;6;300;4;;;;;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;1;;;;1;73;11;4;1;0;0;6;4;4;1;;;;5;2;3;2;5;2;1;1;3;4;1;1;1;4;2;1;1;1;1;3;3;2
4337;6;2;2;9;75;1;5;7;7;3;1;4;11;2;;3;;1;1;0.0;2;2;2;2;2;2;2;2;2;2;2;10;1;4;2;1;1;1;1;1;5;0;;;;;;0;4;2;2;2;2;2;2;2;3;2;3;2;3;1;;;;;2;84;12;6;2;0;0;6;1;1;2;;;;2;1;1;1;1;5;1;1;4;2;2;2;2;3;2;3;1;2;1;1;1;1
4338;6;1;1;6;13;12;4;3;2;1;1;8;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;6;1;1;1;1;1;1;6;0;;;;;;0;2;;2;2;2;2;2;2;2;2;1;1;3;3;2;;;;1;13;12;4;2;0;1;4;3;1;2;;;;1;2;3;1;2;2;2;1;4;3;4;4;3;4;3;4;3;3;3;2;2;2
4339;6;2;2;1;91;1;5;8;8;2;1;4;9;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;2;1;2;1;1;1;1;6;0;;;;;;0;2;2;2;2;1;2;2;2;2;2;3;3;3;4;;;;;1;91;1;2;3;1;0;5;4;1;1;;;;1;2;2;1;5;4;3;1;4;2;2;1;1;2;1;1;1;1;1;4;4;1
4340;6;1;2;7;94;1;5;2;4;2;3;4;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;2;2;4;1;1;1;2;4;135;1;;;;;0;2;2;2;2;2;2;2;2;2;2;4;3;4;3;3;;;;1;94;1;3;2;0;0;6;3;3;1;;;;4;2;2;1;1;2;1;1;4;4;3;1;2;2;1;1;2;2;1;3;4;3
4341;6;1;2;7;44;7;4;6;8;3;6;2;5;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;4;2;1;2;1;1;2;4;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;3;4;4;3;;;;;1;44;7;5;4;0;0;3;4;3;1;;;;3;1;2;2;2;2;2;1;4;3;1;2;2;2;2;1;1;1;2;2;2;1
4342;6;1;1;6;34;10;4;1;5;3;2;3;1;2;;2;;2;2;;2;2;1;1;1;2;2;2;2;1;2;9;2;2;1;1;2;1;2;2;4;30;1;;;;;2;2;;2;2;1;2;2;2;2;2;2;1;2;2;3;;;;1;34;10;6;5;2;0;5;2;2;2;;;;2;2;2;1;2;2;2;2;1;2;3;1;1;2;1;1;1;1;1;1;1;1
