SERIAL;JOURV4;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A2BIS;A3_0;A3_1;A3BIS;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A6_5;A6_6;A6_7;A6_8;A6_9;A6_10;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;C1C2;C3;C3BIS;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C5_4;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;D30_0;D30_1;D30_2;D30_3;D30_4;D31_0;D31_1;D31_2;D32_0;D32_1;D32_2;D33_0;D33_1;D33_2;D33_3;D33_4;D33_5;D33B_0;D33B_1;D33B_2;D33B_3;D34_0;D34_1;D35;D36;D37_0;D37_1;D37_2;D38_0;D38_1;D38_2;D38_3;D39;D40_0;D40_1;D40_2;D41_0;D41_1
4411;4;1;1;10;75;1;5;7;7;3;1;2;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;6;1;1;1;1;2;50;1;;;;;0;3;;4;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;75;1;3;2;0;1;3;5;6;1;1;1;;;;;;;;;;;;;3;;;5;3;5;5;5;2;1;4;1;1;1;1;4;2;2;2;4;4
4412;4;2;2;10;94;1;5;7;7;5;2;1;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;1;1;1;2;1;45;1;3;;;;12;4;2;4;1;2;2;2;2;1;2;2;4;4;4;4;3;;;;;1;94;1;3;1;0;0;2;5;1;2;1;1;;;;;;;;;;;;;5;;;2;2;2;5;5;4;1;2;1;1;1;1;4;2;3;3;4;4
4413;4;1;1;10;75;1;5;7;7;1;2;4;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;4;1;1;1;1;1;1;2;0;;;;;;0;3;;1;1;2;2;2;2;1;2;2;4;4;4;4;3;;;;;1;75;1;4;2;0;0;5;5;1;2;1;1;;;;;;;;;;;;;5;;;5;3;3;5;4;3;2;3;1;1;1;1;4;3;2;3;3;2
4414;4;1;2;10;2;5;1;7;7;6;1;3;4;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;2;1;1;1;1;1;1;2;0;;;;;;0;3;2;4;2;2;2;2;2;2;2;2;3;3;3;3;2;;;;;1;2;5;5;1;0;0;4;1;1;1;1;1;;;;;;;;;;;;;5;;;5;2;2;5;5;3;1;3;1;1;1;1;3;3;3;2;3;3
4415;4;2;1;10;59;5;1;7;7;3;1;10;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;3;4;4;1;1;1;1;2;0;;;;;;0;3;;4;1;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;59;5;8;2;0;2;4;1;1;1;1;1;;;;;;;;;;;;;5;;;6;1;6;5;5;3;1;3;1;1;1;1;2;4;4;2;4;2
4416;4;1;1;10;88;6;2;7;7;3;7;8;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;6;1;1;2;1;1;1;5;0;;;;;;0;3;;4;2;2;2;2;2;1;2;2;3;4;4;4;4;;;;;1;88;6;5;5;3;0;6;1;4;1;1;1;;;;;;;;;;;;;5;;;5;3;2;5;5;4;1;4;1;1;1;1;3;3;3;2;2;2
4417;4;3;1;10;75;1;5;7;7;3;1;5;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;6;6;6;6;1;6;0;;;;;;1;2;;4;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;75;1;4;2;0;1;6;1;1;1;1;1;;;;;;;;;;;;;5;;;4;2;1;5;5;2;1;3;1;1;1;1;4;1;1;4;4;4
4418;4;2;1;10;71;3;1;7;7;3;11;11;11;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;3;1;1;1;2;4;120;1;;;;;10;3;;3;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;71;3;6;2;0;0;5;1;1;1;1;1;;;;;;;;;;;;;5;;;5;3;3;5;5;3;2;3;1;1;1;1;3;3;3;2;3;3
4419;4;3;2;10;76;4;4;7;7;5;5;8;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;1;1;1;1;2;1;60;1;;;;;0;2;2;4;2;2;2;2;2;2;2;2;3;3;4;4;3;;;;;1;76;4;5;1;0;0;2;1;1;1;1;1;;;;;;;;;;;;;5;;;2;2;2;5;5;2;1;2;1;1;1;1;4;2;3;3;3;3
4420;4;1;1;10;80;5;3;7;7;3;1;9;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;1;1;1;2;1;1;1;6;0;;;;;;0;4;;4;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;80;5;5;2;0;1;3;1;1;1;1;1;;;;;;;;;;;;;5;;;5;3;3;5;5;3;1;3;2;1;1;2;3;2;1;2;4;4
4421;4;3;1;10;75;1;5;7;7;3;6;1;5;2;;3;2;;1;1;0.0;1;2;2;2;2;1;2;1;1;2;2;9;1;3;1;3;2;1;1;2;6;210;1;;;;;1;3;;4;2;2;2;2;2;2;2;2;3;3;3;1;4;;;;;1;75;1;4;3;0;2;6;5;2;2;3;1;;;;;;;;;;;;;3;;;3;3;4;5;3;3;2;4;4;2;1;1;4;3;3;1;1;1
4422;4;1;2;10;56;8;1;7;7;5;1;8;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;1;2;120;5;;;;;1;4;2;4;2;2;2;2;2;1;2;1;3;3;3;3;3;;;;;1;56;8;6;1;0;0;6;1;1;1;1;1;;;;;;;;;;;;;5;;;2;2;2;5;5;3;1;4;1;1;1;1;4;2;2;4;4;4
4423;4;1;1;10;75;1;5;7;7;3;1;2;10;2;;3;3;;1;2;;2;2;2;1;2;2;2;1;2;2;2;8;2;3;3;2;2;1;1;2;2;90;1;;;;;1;4;;4;1;2;1;2;2;1;2;2;4;4;4;4;4;;;;;1;75;1;4;3;0;2;2;5;6;4;2;2;;;;;;;;;;;;;5;;;5;3;5;5;5;2;2;3;1;1;1;1;3;2;2;3;2;2
4424;7;2;2;10;64;9;4;7;7;3;3;1;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;3;1;1;1;1;1;1;1;0;;;;;;0;3;2;4;2;2;2;2;2;2;1;1;4;4;4;4;4;;;;;1;64;9;5;2;0;0;3;1;1;1;1;1;;;;;;;;;;;;;4;;;5;3;3;3;4;3;2;3;1;1;1;1;4;3;2;2;4;4
4425;4;1;1;10;50;4;3;7;7;3;1;4;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;6;1;1;1;1;1;2;0;;;;;;0;3;;4;2;1;2;2;2;2;2;2;4;4;4;4;4;;;;;1;50;4;6;2;0;0;6;1;1;1;1;1;;;;;;;;;;;;;5;;;2;2;1;5;5;2;1;2;1;1;1;2;4;3;3;3;4;4
4426;4;2;1;6;77;1;1;1;4;3;10;9;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;1;2;2;7;1;1;1;1;1;1;1;2;2;0;;;;;;0;3;;2;2;2;2;2;2;1;2;2;4;4;4;3;3;6;;;;1;77;1;4;5;3;0;4;1;2;2;1;2;;;;1;1;3;4;5;6;5;6;2;;;;;2;2;5;3;3;1;3;1;1;1;1;4;2;1;2;3;3
4427;4;1;1;10;95;1;5;7;7;3;1;8;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;1;1;1;1;1;0;;;;;;0;2;;4;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;95;1;4;2;0;0;3;2;1;2;1;1;;;;;;;;;;;;;5;;;5;2;2;5;5;2;2;2;2;2;1;2;4;2;2;3;4;4
4428;4;2;1;2;13;12;4;1;6;2;1;3;4;1;5;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;2;3;2;4;2;1;1;3;2;360;1;4;;;;20;2;;1;2;2;2;2;2;2;2;2;2;2;2;4;4;1;;;;1;13;12;5;2;2;0;4;1;6;4;5;2;2;3;2;;;;3;5;5;2;2;5;;;;;3;4;4;1;3;3;3;2;2;2;1;4;2;2;2;3;3
4429;4;1;1;10;45;2;2;7;7;3;1;6;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;3;3;1;1;1;1;1;3;30;1;;;;;0;2;;4;2;2;2;2;2;2;2;2;4;3;4;4;1;;;;;1;45;2;7;2;0;0;2;1;1;2;1;1;;;;;;;;;;;;;5;;;5;3;3;5;5;2;1;2;1;1;1;1;3;3;2;3;3;3
4430;4;1;1;10;25;3;1;7;7;3;8;3;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;1;1;1;1;1;1;2;30;2;;;;;0;2;;1;1;2;2;2;2;2;2;2;3;4;4;4;2;;;;;1;25;3;5;2;0;0;5;3;1;2;2;1;;;;;;;;;;;;;5;;;5;3;3;5;5;4;1;4;1;1;1;1;4;2;2;3;3;3
4431;4;1;1;10;52;6;2;7;7;3;1;3;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;2;2;1;2;1;1;1;6;0;;;;;;2;3;;4;3;3;3;2;2;2;2;2;4;4;4;4;3;;;;;1;52;6;7;3;0;0;5;1;6;2;5;2;;;;;;;;;;;;;5;;;5;2;2;5;5;2;2;2;1;1;1;1;3;2;3;2;4;4
4432;4;1;1;10;33;9;2;7;7;1;1;4;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;5;5;1;6;1;6;1;6;0;;;;;;0;3;;1;2;2;1;2;2;1;2;2;4;4;4;4;4;;;;;1;33;9;5;1;0;1;3;1;6;6;6;1;;;;;;;;;;;;;5;;;5;2;2;5;5;3;1;3;1;1;1;1;4;3;2;3;3;3
4433;4;1;1;10;81;10;3;7;7;3;5;10;8;2;;5;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;1;1;1;1;1;6;30;1;;;;;2;2;;4;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;81;10;5;3;0;0;5;1;1;2;1;1;;;;;;;;;;;;;5;;;5;2;2;5;5;3;1;2;2;1;1;1;4;1;3;4;4;4
4434;4;1;2;4;83;12;4;1;3;3;1;3;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;1;5;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;2;3;4;4;4;4;3;;;;1;83;12;5;2;2;0;4;2;2;2;1;2;;;;1;1;1;3;5;5;5;5;3;;;;;2;2;5;3;3;3;3;2;2;2;2;4;1;1;3;3;3
4435;4;1;1;10;54;6;3;7;7;3;1;8;2;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;1;2;90;1;2;;;;1;2;;4;2;2;2;2;2;2;2;2;4;4;3;4;3;;;;;1;54;6;3;2;0;1;5;1;1;2;1;1;;;;;;;;;;;;;5;;;5;3;3;5;5;2;1;1;1;1;1;1;4;2;2;3;3;3
4436;4;1;2;3;28;2;1;1;3;1;1;8;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;2;1;2;1;1;2;3;120;3;;;;;2;2;2;4;2;2;2;2;2;2;2;2;4;3;3;4;4;3;5;;;2;31;10;3;3;0;0;6;4;4;2;4;1;;;;1;1;1;4;5;4;5;5;2;;;;;4;2;2;5;3;2;4;2;1;1;1;4;2;2;3;3;3
4437;4;1;1;10;75;1;5;7;7;1;2;8;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;1;1;1;1;1;0;;;;;;0;3;;4;2;3;2;2;2;2;2;2;4;4;4;4;4;;;;;1;75;1;3;1;0;0;6;1;6;1;1;1;;;;;;;;;;;;;5;;;5;3;3;5;5;2;1;3;1;1;1;1;4;2;1;3;4;4
4438;4;2;1;5;2;5;1;1;6;3;2;5;10;2;;2;1;;2;2;;2;2;2;2;1;2;2;2;2;2;2;6;2;2;3;3;2;2;2;3;1;540;1;4;;;;6;3;;4;2;2;2;2;2;2;2;2;3;3;4;3;3;1;;;;1;2;5;5;4;2;0;4;1;1;2;2;1;1;1;1;;;;3;4;5;2;5;1;;;;;2;3;5;5;4;3;4;1;1;1;1;4;3;1;3;2;2
4439;4;1;2;10;95;1;5;7;7;5;1;5;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;3;1;1;1;1;1;2;4;45;1;;;;;10;3;2;4;2;2;2;2;2;2;2;2;3;3;3;4;4;;;;;1;95;1;4;1;0;1;4;1;1;1;1;1;;;;;;;;;;;;;5;;;3;2;2;4;5;4;1;2;3;1;1;1;4;1;1;4;3;3
4440;4;2;2;10;25;3;2;7;7;5;1;3;2;2;;2;3;;2;2;;2;2;3;2;2;2;2;2;2;2;2;9;2;3;6;2;1;1;1;2;2;60;2;;;;;0;2;2;4;2;2;2;2;2;2;2;2;2;3;3;3;3;;;;;1;25;3;5;1;0;0;5;1;5;1;5;1;;;;;;;;;;;;;3;;;2;4;4;5;5;2;1;1;1;1;1;1;4;2;2;3;4;4
4441;4;2;2;3;31;10;1;5;8;7;1;10;3;2;;2;3;;2;1;0.0;2;2;2;2;1;2;2;2;2;2;2;10;2;2;3;1;1;1;1;1;3;0;;;;;;0;4;2;4;2;2;2;2;2;2;1;1;3;3;3;3;1;;;;;1;31;10;4;3;1;0;5;2;5;4;3;4;;;;;;;;;;;;;3;;;5;5;5;4;5;3;2;3;1;1;1;1;4;2;2;4;4;4
4442;4;1;2;10;90;3;1;7;7;7;3;8;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;1;1;2;2;1;1;1;1;3;0;;;;;;0;5;2;1;2;2;2;2;2;2;2;2;4;4;4;3;4;;;;;1;90;3;5;2;0;2;3;1;1;1;1;1;;;;;;;;;;;;;5;;;5;3;2;5;5;3;1;3;1;1;1;1;3;3;2;2;3;3
4443;4;1;2;9;73;11;3;1;5;1;3;8;2;1;3;;2;;2;2;;2;2;2;2;1;2;2;2;2;2;2;7;1;2;1;1;1;1;1;1;1;90;2;;;;;4;3;2;4;2;2;1;2;2;2;2;2;3;4;4;3;2;5;;;;1;73;11;4;2;1;0;5;1;1;2;2;2;;;;3;3;3;3;4;2;5;5;5;;;;;2;2;5;5;3;2;3;1;1;1;1;4;2;2;3;4;4
4444;4;3;2;1;72;7;1;2;5;2;5;11;7;2;;2;3;;2;2;;1;2;2;1;2;3;3;2;1;2;3;6;1;2;1;1;1;1;1;1;5;0;;;;;;0;2;2;4;2;2;2;2;2;2;2;2;2;3;4;3;3;5;;;;1;72;7;2;2;0;0;3;3;4;2;5;1;;;;1;1;1;4;5;5;5;5;5;;;;;3;3;5;5;3;1;3;1;1;3;3;2;1;2;2;2;2
4445;4;2;1;6;27;4;1;1;6;3;1;2;10;2;;2;3;;2;2;;2;2;2;2;1;1;2;2;2;2;1;10;1;2;2;1;1;1;2;2;6;900;4;;;;;2;3;;4;2;2;2;2;2;2;2;2;2;1;3;1;3;1;;;;1;27;4;5;4;1;0;4;1;5;5;1;2;3;3;3;;;;1;5;5;1;1;5;;;;;2;3;5;5;3;2;3;2;1;1;1;4;1;1;4;4;4
4446;4;2;2;10;22;8;3;7;7;5;1;2;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;1;1;45;3;;;;;2;4;2;4;2;2;2;2;2;1;2;2;2;2;2;3;3;;;;;1;22;8;4;2;0;1;2;1;1;1;1;1;;;;;;;;;;;;;5;;;6;2;3;5;5;4;1;4;1;1;1;3;4;2;2;2;4;4
4447;4;1;2;10;78;1;1;7;7;3;1;10;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;2;1;1;1;1;2;2;0;;;;;;0;2;2;4;2;2;2;2;2;2;2;2;3;3;3;3;2;;;;;1;78;1;7;2;0;1;3;1;1;2;1;2;;;;;;;;;;;;;5;;;5;2;2;4;5;2;2;3;2;2;2;1;4;1;1;4;4;3
4448;4;3;1;10;33;9;4;7;7;3;1;6;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;2;2;60;2;;;;;0;2;;4;2;2;2;2;2;2;2;1;3;3;4;3;4;;;;;1;33;9;3;2;0;0;5;1;1;2;1;1;;;;;;;;;;;;;5;;;3;3;2;5;5;2;2;2;1;1;1;1;3;2;2;3;4;4
4449;4;1;2;10;93;1;5;7;7;5;1;3;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;1;1;1;1;1;1;1;0;;;;;;0;4;2;4;2;2;2;2;2;2;2;2;3;3;3;4;3;;;;;1;93;1;4;1;0;1;4;5;1;5;1;1;;;;;;;;;;;;;5;;;5;3;3;5;5;3;3;4;3;3;2;2;4;2;2;3;3;3
4450;4;1;1;10;91;1;5;7;7;3;6;3;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;1;2;2;10;1;4;1;5;1;1;1;1;1;20;1;;;;;0;3;;4;2;1;2;2;2;2;2;2;4;4;4;4;4;;;;;1;91;1;7;2;0;2;6;1;1;1;6;1;;;;;;;;;;;;;5;;;5;2;2;5;5;1;1;2;1;1;1;1;4;2;1;4;4;4
4451;4;1;1;10;33;9;4;7;7;6;1;6;4;2;;2;2;;2;2;;1;2;2;2;2;2;2;2;2;2;2;8;1;1;2;1;1;1;1;1;6;25;1;;;;;0;2;;1;1;2;2;2;2;1;2;2;4;4;4;3;1;;;;;1;33;9;4;2;0;0;6;1;1;2;1;1;;;;;;;;;;;;;5;;;3;2;2;6;4;2;1;2;2;1;1;1;4;2;1;4;2;1
4452;4;1;2;10;77;1;1;7;7;3;1;10;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;3;1;1;1;1;1;1;2;122;5;;;;;3;3;2;4;2;2;2;2;2;2;2;2;2;3;1;4;2;;;;;1;77;1;4;2;0;2;3;1;1;1;5;1;;;;;;;;;;;;;5;;;5;3;3;4;5;3;3;3;1;1;1;1;5;2;1;3;3;3
4453;4;1;1;6;35;8;2;1;4;3;1;5;2;2;;4;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;3;2;3;1;1;2;2;4;240;4;;;;;10;3;;4;3;3;3;3;3;3;3;3;4;3;3;3;3;1;;;;1;35;8;6;4;1;0;3;2;3;2;2;2;1;1;1;;;;2;3;2;1;2;2;;;;;2;1;6;5;3;1;2;2;1;1;1;3;2;2;3;2;2
4454;4;2;2;1;10;6;4;2;5;1;1;6;3;2;;2;3;;2;2;;2;2;1;2;2;2;2;2;2;2;2;7;4;1;2;2;2;1;1;2;4;120;1;5;;;;1;3;2;4;2;2;2;2;2;2;2;2;4;4;4;2;3;5;;;;1;10;6;3;2;0;0;6;5;5;4;5;2;;;;1;1;1;4;4;5;2;2;5;;;;;3;4;3;5;4;2;3;1;1;1;2;4;2;2;4;2;2
4455;4;2;2;1;49;7;4;8;8;1;1;5;7;2;;2;3;;2;2;;2;2;2;1;2;2;2;2;2;2;2;7;3;3;2;2;1;1;1;1;2;0;;;;;;0;1;2;4;2;2;2;2;2;2;2;2;3;3;4;3;2;;;;;1;49;7;7;4;1;0;6;1;1;3;1;2;;;;;;;;;;;;;4;;5;6;2;2;4;5;3;2;4;1;1;2;2;4;2;2;3;3;3
4456;4;1;1;6;91;1;5;4;6;1;1;10;6;2;;4;3;;2;2;;2;2;3;3;1;3;2;2;2;2;2;7;3;6;4;4;1;1;1;1;6;0;;;;;;0;2;;4;2;2;2;2;2;2;2;2;3;3;3;3;3;5;;;;1;91;1;1;1;0;0;4;1;6;1;6;1;;;;3;3;1;;;;;;;5;5;;2;3;3;5;5;3;2;3;1;1;1;1;3;2;2;2;3;3
4457;4;1;1;9;13;12;2;7;7;5;1;10;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;3;2;1;1;1;1;1;6;60;1;;;;;0;4;;4;2;2;2;2;2;1;2;2;3;4;4;3;4;;;;;1;13;12;4;1;1;0;3;5;1;2;5;2;;;;;;;;;;;;;5;;;5;3;3;4;5;2;1;2;1;1;1;1;4;2;2;3;3;3
4458;4;3;1;10;3;11;3;7;7;5;9;6;5;1;3;;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;2;1;4;5;3;1;2;3;5;240;1;2;5;;;9;3;;4;2;2;2;2;2;2;2;2;3;3;4;3;4;;;;;1;3;11;4;1;0;1;6;5;1;1;2;1;;;;;;;;;;;;;5;;;4;3;3;5;3;3;2;3;4;2;1;4;3;3;2;2;2;2
4459;4;1;1;10;59;5;4;7;7;3;2;1;8;1;6;;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;4;6;4;1;1;6;5;1;1;60;1;2;;;;10;4;;4;1;2;2;2;2;2;2;2;2;2;2;4;4;;;;;1;59;5;5;2;0;0;3;1;5;1;5;2;;;;;;;;;;;;;4;;;4;3;5;5;5;1;4;4;2;2;5;5;4;1;1;4;1;3
4460;4;3;2;10;31;10;4;7;7;3;1;5;6;2;;2;3;;2;2;;2;2;1;2;2;2;2;2;2;2;2;10;1;3;3;2;1;1;1;2;3;30;2;;;;;0;2;2;4;2;2;2;2;2;2;2;2;2;1;2;2;1;;;;;1;31;10;5;2;0;2;5;1;1;2;2;1;;;;;;;;;;;;;5;;;5;3;3;5;5;3;1;3;1;1;1;1;4;2;2;2;4;3
4461;4;1;2;1;91;1;5;8;8;1;7;5;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;2;2;6;1;1;1;6;0;;;;;;0;4;2;4;2;2;2;2;2;2;2;2;2;2;2;3;2;;;;;1;91;1;4;5;0;1;4;5;3;2;1;1;;;;;;;;;;;;;3;;5;3;2;1;2;1;2;1;2;2;1;1;2;4;2;2;3;4;3
4462;4;1;2;10;95;1;5;7;7;5;8;1;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;1;4;0;;;;;;0;3;2;4;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;95;1;4;10;0;0;3;1;1;2;1;1;;;;;;;;;;;;;3;;;3;4;4;5;5;1;1;1;1;1;1;1;3;2;3;2;4;4
4463;4;1;2;10;91;1;5;7;7;5;9;8;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;6;1;1;1;1;1;1;4;0;;;;;;4;5;2;4;2;2;2;2;2;2;2;2;4;3;4;4;4;;;;;1;91;1;5;1;0;0;6;1;6;5;6;6;;;;;;;;;;;;;3;;;3;4;4;5;5;3;1;3;1;1;1;1;4;2;1;4;3;3
4464;4;1;2;10;17;9;2;7;7;2;8;1;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;4;1;1;1;1;1;1;4;120;1;2;;;;50;3;2;1;2;2;2;2;2;2;2;2;2;1;2;1;4;;;;;1;17;9;4;2;1;0;5;1;2;2;1;1;;;;;;;;;;;;;3;;;5;2;3;5;5;3;1;2;2;1;1;1;4;2;2;2;4;4
4465;4;1;1;5;82;10;3;1;6;3;9;8;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;1;3;1;2;1;1;2;2;255;3;;;;;4;4;;4;2;2;2;2;2;2;2;2;4;4;4;4;3;1;;;;1;82;10;6;3;1;0;4;1;1;2;1;1;2;1;3;;;;1;5;5;5;5;2;;;;;2;3;5;5;3;2;3;1;1;1;1;4;1;2;2;3;2
4466;4;1;1;10;55;6;1;7;7;3;5;8;6;2;;2;3;;2;2;;2;2;2;2;1;2;2;2;2;2;2;7;1;3;3;2;1;1;1;1;3;20;1;;;;;0;3;;4;2;2;2;2;2;2;2;2;4;4;1;4;4;;;;;1;55;6;6;2;0;2;5;1;1;2;1;1;;;;;;;;;;;;;5;;;5;2;2;4;5;2;1;3;1;1;1;1;4;2;3;3;4;4
4467;4;2;2;2;69;11;4;1;5;2;3;7;8;2;;2;3;;2;3;;2;2;2;2;2;2;2;3;2;2;3;8;1;2;2;3;2;4;1;2;3;0;;;;;;0;2;3;4;3;2;2;3;2;2;2;2;4;4;4;3;4;3;;;;1;69;11;3;2;0;0;6;1;4;1;1;1;;;;1;1;1;2;5;5;5;5;5;;;;;2;2;3;5;4;4;4;3;3;3;3;4;1;1;3;3;2
4468;4;1;1;7;81;10;2;3;2;3;2;1;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;2;1;1;1;1;2;6;330;4;;;;;1;3;;4;2;2;2;2;2;2;2;2;4;4;4;4;4;1;;;;1;81;10;7;4;0;0;3;1;1;1;2;1;3;3;3;;;;1;1;5;5;5;5;;;;;3;3;4;5;3;1;3;2;1;1;1;4;2;2;3;2;2
4469;4;2;1;9;76;4;4;7;7;3;1;8;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;3;0;;;;;;0;3;;4;2;2;1;2;2;1;2;1;3;4;1;4;2;;;;;1;76;4;6;2;0;0;6;1;1;2;1;1;;;;;;;;;;;;;5;;;5;2;2;5;5;2;1;1;1;1;1;1;4;2;4;3;4;4
4470;4;2;1;2;77;1;5;8;8;1;8;2;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;3;2;2;1;1;1;2;2;10;1;;;;;1;2;;4;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;77;1;1;1;0;0;6;4;1;2;1;1;;;;;;;;;;;;;4;;5;5;4;4;4;3;3;2;2;1;1;1;1;4;3;2;3;2;2
4471;4;1;2;1;44;7;4;1;5;2;3;9;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;6;1;1;1;1;1;2;5;45;1;2;;;;0;1;2;4;2;2;2;2;2;2;2;2;3;3;4;3;3;5;;;;1;44;7;3;2;0;0;6;5;1;2;1;1;;;;1;1;1;5;3;5;5;5;5;;;;;2;2;5;5;3;2;3;1;1;2;2;3;3;2;3;3;3
4472;4;1;2;10;92;1;5;7;7;6;1;3;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;1;30;3;5;;;;0;3;2;4;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;92;1;3;1;0;1;5;1;5;2;5;4;;;;;;;;;;;;;5;;;5;2;2;5;5;3;1;3;1;1;1;1;4;2;2;3;4;4
4473;4;2;2;1;51;6;4;8;8;2;1;5;9;2;;2;1;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;2;3;3;3;1;1;1;1;6;0;;;;;;0;1;2;4;2;2;2;2;2;2;2;2;4;3;3;4;4;;;;;1;51;6;5;8;0;0;5;4;1;2;2;1;;;;;;;;;;;;;6;;2;3;2;2;3;4;3;3;4;2;1;2;3;4;1;1;4;4;4
4474;4;1;1;8;64;9;4;2;4;3;8;1;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;4;1;1;1;1;1;1;2;720;1;;;;;6;3;;4;2;2;2;2;2;1;2;2;3;3;1;4;4;3;;;;1;64;9;6;2;0;0;5;1;1;1;2;1;;;;1;1;1;2;5;6;2;2;3;;;;;3;3;5;5;4;2;3;2;1;1;1;4;2;3;2;4;4
