SERIAL;JOUR;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A3_0;A3_1;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A7_0;A7_1;A7_2;A7_3;A7_4;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;C1C2;C3;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;ALEA;D1;D2;D3;D4_0;D4_1;D4_2;D5;D6
61;1;1;2;7;16;9;1;1;6;1;1;3;10;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;10;1;4;6;4;1;1;1;1;6;0;;;;;;0;2;2;2;2;2;2;2;1;2;2;3;4;4;4;4;;;;1;16;9;2;1;0;0;1;2;3;3;3;1;3;3;1;1
62;1;2;2;8;59;5;2;7;7;6;1;10;4;2;;3;;1;38.3;2;2;2;2;2;2;1;2;2;2;10;1;2;1;1;1;1;1;1;2;75;1;;;;;6;3;2;2;2;1;2;2;1;2;2;1;1;2;3;;;;;1;59;5;4;2;0;1;7;2;2;3;3;1;1;1;1;1
63;1;1;1;7;54;6;4;5;8;1;4;10;5;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;7;3;5;2;4;1;1;2;2;6;0;;;;;;0;2;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;54;6;2;1;0;0;4;2;4;5;1;3;3;3;1;3
64;1;1;2;8;5;12;3;6;8;3;6;8;4;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;1;1;6;1;1;1;1;1;1;6;60;1;;;;;0;5;2;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;5;12;3;2;0;0;7;1;4;4;1;2;2;2;2;2
65;1;2;2;1;24;9;3;8;8;1;6;3;10;2;;3;;2;;2;2;2;2;2;2;2;2;2;3;6;1;6;3;3;6;6;6;1;6;0;;;;;;0;3;2;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;24;9;5;4;0;0;6;2;1;2;3;1;1;1;1;1
66;1;2;1;5;80;5;4;1;2;3;1;2;8;2;;3;;2;;2;2;1;1;1;2;1;2;2;2;7;1;4;1;1;1;1;1;1;5;90;1;2;;;;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;1;80;5;3;3;1;0;4;1;1;2;3;1;1;1;1;1
67;1;2;1;6;22;8;1;1;6;7;8;1;9;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;1;1;1;6;5;720;1;4;;;;0;2;;2;2;3;2;2;2;2;2;4;4;4;4;1;;;;1;22;8;5;4;2;0;1;1;2;1;2;1;1;2;1;3
68;1;2;2;1;44;7;4;1;4;3;1;4;3;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;7;1;2;2;1;1;1;1;2;6;150;1;2;;;;10;2;2;2;2;1;2;2;2;2;2;3;4;3;4;5;;;;1;44;7;4;4;2;0;4;2;2;2;3;1;1;1;1;1
69;1;2;1;1;59;5;4;1;5;1;1;8;2;2;;3;;2;;2;2;1;2;2;2;2;1;2;2;9;2;1;1;1;2;1;2;2;2;510;1;4;;;;30;2;;2;2;2;2;2;2;2;2;3;3;3;3;1;;;;1;59;5;2;1;0;0;5;2;2;3;2;2;1;2;1;1
70;1;1;2;1;83;12;4;8;8;1;1;7;9;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;2;1;1;6;20;2;;;;;0;2;2;2;2;2;2;2;2;2;2;1;2;3;1;;;;;1;83;12;6;3;1;0;4;2;2;3;3;2;2;2;1;3
71;1;2;2;4;62;5;4;1;5;3;1;8;11;2;;3;;2;;2;2;1;2;2;2;2;2;2;2;8;1;1;3;1;1;1;1;2;3;600;4;;;;;2;2;2;2;2;2;2;2;2;2;2;3;2;2;4;1;;;;1;62;5;4;3;1;0;5;2;2;3;3;1;1;1;1;1
72;1;3;1;4;13;12;4;1;3;3;1;8;2;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;8;1;2;1;6;6;1;1;1;6;0;;;;;;0;4;;2;2;2;2;2;2;2;2;3;2;2;3;3;;;;1;13;12;5;4;2;0;6;2;5;3;3;3;3;3;3;1
73;1;1;2;2;75;1;5;1;3;1;1;2;3;2;;3;;2;;2;2;2;2;2;2;2;1;2;2;9;1;2;2;2;1;1;2;2;6;60;1;;;;;4;5;2;2;2;2;2;2;2;1;2;3;2;3;3;3;;;;1;75;1;2;1;0;0;6;1;2;4;1;1;1;2;1;3
74;1;1;1;5;83;12;2;1;5;5;8;3;4;2;;3;;2;;1;2;1;2;2;2;2;2;2;2;10;1;6;1;1;1;1;1;1;2;45;1;;;;;0;3;;2;2;2;2;2;2;2;2;2;2;3;3;6;;;;1;83;12;2;2;1;0;4;1;5;3;1;3;1;1;1;1
75;1;1;2;9;37;2;1;2;5;5;8;10;6;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;2;3;130;1;;;;;3;2;2;2;2;2;2;2;2;2;2;4;4;4;4;5;;;;1;37;2;4;1;0;0;1;2;2;2;1;2;1;1;1;1
76;1;2;1;4;38;11;2;1;6;7;1;3;2;2;;4;;2;;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;2;0;;;;;;0;3;;2;2;2;2;2;2;2;2;2;2;2;2;5;;;;1;38;11;3;3;1;0;4;1;1;1;2;1;1;1;1;1
77;1;1;2;7;53;7;1;3;3;3;2;9;1;2;;3;;2;;2;2;2;2;2;2;2;1;2;2;7;1;6;1;1;1;1;2;2;6;60;1;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;;;;1;53;7;3;3;1;0;6;1;3;4;1;2;2;2;3;2
78;1;2;2;3;34;10;4;2;5;1;1;5;8;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;7;1;1;1;2;1;2;1;2;6;0;;;;;;0;1;2;2;2;2;2;2;2;2;2;3;4;2;4;5;;;;1;34;10;2;1;0;0;3;1;3;3;3;3;1;1;1;3
