SERIAL;JOURV7;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A2BIS;A3_0;A3_1;A3BIS;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A6_5;A6_6;A6_7;A6_8;A6_9;A6_10;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B5Q;B5AQ;B5BQ;B5CQ;B6Q_0;B6Q_1;B6Q_2;C1C2;C3;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;C11;D60A;D60;D61;D62_0;D62_1;D62_2;D63;ALEAD65;D65;D66;ALEAD70;D70;D71;D67;D68_0;D68_1;D68_2;D68_3;D68_4;D68_5;D68_6;D68_7;D68_8;D69_0;D69_1;D69_2;D69_3;D69_4;D69_5;D69_6;D69_7
1813;2;1;2;10;73;11;1;2;5;1;6;1;2;2;;2;3;;2;2;;2;2;2;2;1;2;2;2;2;2;2;5;2;2;1;1;1;1;1;3;4;420;1;40;;;2;0;5;2;2;2;2;2;2;2;2;2;2;3;4;4;4;1;;;;1;73;11;4;1;0;0;5;5;3;2;2;2;3;2;2;1;3;;1;2;;2;1;2;2;2;2;2;2;2;2;2;3;2;2;3;4;4;4
1814;2;1;1;8;44;7;4;1;4;1;4;2;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;1;1;1;1;3;60;0;;;;0;0;10;4;;1;2;2;2;2;1;2;2;4;4;4;4;1;;;;1;44;7;2;1;0;0;3;;6;2;2;2;3;3;1;1;3;;1;2;;2;3;3;3;4;3;4;3;4;3;1;1;1;1;1;1;5;3
1815;2;1;1;4;34;10;3;3;3;1;2;5;7;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;1;1;2;1;1;2;1;3;4;120;5;;35;;5;1;4;2;;2;2;2;2;2;2;2;2;4;4;4;4;1;3;;;1;34;10;5;2;0;1;6;4;5;1;2;2;3;2;1;1;3;;1;4;;2;1;2;2;3;3;3;2;2;3;2;3;1;1;1;1;2;3
1816;2;1;2;5;51;6;4;1;4;4;1;6;4;1;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;2;1;2;1;3;2;2;45;3;;50;45;3;2;0;3;2;2;2;2;2;2;2;2;2;4;3;4;4;3;;;;1;51;6;8;3;2;0;6;4;2;2;2;2;3;3;2;2;;3;2;;5;1;1;2;2;3;2;2;3;2;3;2;2;1;1;1;1;2;1
1817;2;1;1;10;28;2;2;7;7;3;8;3;7;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;2;2;5;2;1;1;1;2;2;90;1;;;;0;0;0;2;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;28;2;6;2;0;2;5;1;2;1;1;2;3;3;2;1;3;;1;2;;2;1;1;2;3;2;2;1;3;3;4;4;3;4;3;2;5;3
1818;2;1;1;6;76;4;4;1;5;3;10;3;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;1;1;1;1;1;1;1;1;60;0;;;;1;1;0;2;;2;2;2;2;2;2;2;2;4;4;4;4;1;;;;1;76;4;4;4;0;0;5;5;6;1;1;3;3;2;2;1;3;;1;4;;2;2;3;3;3;3;3;4;3;4;1;4;1;1;1;2;1;2
1819;2;1;2;2;92;1;5;8;8;1;10;5;1;2;;2;3;;2;2;;2;2;2;1;1;2;2;2;2;2;2;7;1;2;1;1;1;1;1;2;1;0;0;;;;1;0;1;5;2;2;2;2;2;2;2;2;2;1;1;2;1;;;;;1;92;1;;3;0;0;6;3;6;1;1;2;2;2;1;2;;3;2;;5;2;2;3;3;3;2;2;3;3;3;2;3;2;2;2;2;4;2
1820;2;1;1;10;73;11;4;3;3;3;1;10;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;1;5;1;1;1;1;2;1;120;4;;40;50;0;0;2;3;;1;2;2;2;2;2;2;2;4;4;4;4;1;;;;1;73;11;6;2;0;0;6;2;4;2;1;1;3;2;1;1;3;;1;3;;2;2;3;3;4;4;3;3;3;4;2;1;2;1;1;1;3;1
1821;3;2;1;6;83;12;4;1;4;2;2;4;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;1;1;3;1;1;1;2;2;150;0;;;;1;2;0;2;;2;2;2;2;2;2;2;2;3;4;3;3;2;3;;;1;83;12;4;5;3;0;7;;3;1;2;2;3;1;1;1;3;;1;1;;2;2;2;2;3;2;3;2;3;3;2;4;1;3;1;4;3;4
1822;2;2;1;4;87;9;4;1;3;3;8;5;9;1;2;;1;;1;1;40.0;1;3;1;1;1;2;2;1;2;1;1;8;3;3;3;2;2;3;3;3;2;480;3;;28;25;1;1;1;2;;2;2;2;2;3;2;3;2;2;2;2;2;3;;;;1;87;9;3;2;0;0;3;;3;1;1;2;1;3;1;2;;2;2;;2;1;2;2;3;2;2;2;3;3;2;3;2;3;4;4;4;4;3
1823;2;1;1;10;29;8;2;7;7;3;8;1;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;2;1;1;1;1;1;2;1;180;5;;;80;0;2;0;2;;2;2;2;2;2;1;2;2;4;4;4;4;;;;;1;29;8;8;2;0;0;5;5;3;1;1;1;4;3;1;2;;3;1;2;;2;1;2;1;2;1;2;4;4;2;3;3;2;2;1;3;2;2
1824;2;1;1;6;95;1;5;1;3;3;1;3;4;3;;;2;;2;3;;3;3;3;3;3;3;3;3;3;3;3;10;1;2;1;1;6;1;1;2;2;60;0;;;;0;0;0;3;;3;3;3;3;3;3;3;3;4;4;4;4;3;;;;1;95;1;3;5;3;2;5;1;2;1;1;1;2;2;1;1;3;;1;5;;2;1;3;3;4;3;3;3;3;3;2;2;2;2;2;2;2;2
1825;2;1;1;7;37;2;4;1;5;3;2;7;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;2;2;2;2;2;2;3;2;360;50;;;;0;0;20;2;;2;2;2;2;2;2;2;2;4;4;4;4;1;;;;1;37;2;5;3;1;0;5;5;6;2;1;2;4;2;2;1;2;;1;3;;2;2;2;2;4;4;3;2;3;2;4;4;2;3;5;4;5;5
1826;2;2;1;5;1;11;4;1;6;2;3;4;2;2;;2;3;;2;2;;2;2;1;2;2;2;2;2;2;2;2;7;2;1;2;1;3;1;2;6;2;600;30;;72;72;2;5;5;3;;2;2;2;2;2;2;2;2;2;3;3;3;1;5;;;1;1;11;5;5;3;0;3;;6;1;1;2;2;1;2;1;3;;1;2;;1;3;2;3;2;2;2;2;2;4;4;4;2;4;3;4;3;3
1827;2;2;1;1;30;10;2;8;8;1;6;3;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;2;2;1;1;1;1;1;2;1;0;0;;;;0;2;0;1;;2;2;2;2;2;2;2;2;3;3;4;4;;;;;1;30;10;6;3;0;0;6;1;3;1;1;2;3;3;2;1;3;;2;;2;2;2;2;3;4;1;2;3;2;3;2;2;2;2;2;2;5;1
1828;2;2;2;8;26;11;2;2;4;3;3;8;5;1;2;;3;;2;2;;2;2;2;2;1;2;2;2;2;2;2;5;1;1;1;1;1;1;1;1;1;480;1;80;;;1;2;2;3;2;2;2;2;2;2;1;2;3;4;4;4;4;1;;;;1;26;11;5;2;0;0;4;;6;1;1;1;1;3;2;2;;3;2;;2;2;2;2;2;3;3;3;2;3;3;2;2;2;3;2;2;4;4
1829;2;1;1;4;91;1;1;1;3;1;6;1;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;2;2;2;1;2;2;2;120;10;;;;1;1;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;1;91;1;4;1;0;0;6;1;4;1;1;2;3;4;1;1;3;;1;1;;1;1;2;2;2;3;2;2;2;4;5;4;3;4;3;2;3;4
1830;2;1;1;10;24;9;2;7;7;3;6;8;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;4;2;2;3;2;2;5;1;2;1;180;5;;60;65;1;1;0;2;;1;2;2;2;2;2;2;2;4;4;4;4;;;;;1;24;9;5;3;0;0;6;1;3;2;1;2;3;1;1;2;;3;2;;1;1;2;2;2;3;2;2;2;3;4;2;3;2;2;1;2;2;2
1831;2;1;1;10;26;11;4;7;7;3;5;4;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;2;1;2;1;1;1;3;3;210;3;;;82;1;1;0;4;;1;2;2;2;2;1;2;2;4;4;4;4;;;;;1;26;11;5;2;0;2;6;4;2;1;2;2;2;1;2;1;3;;1;1;;1;2;2;2;3;2;2;2;2;3;5;4;3;4;3;5;5;4
1832;2;3;1;10;45;2;2;7;7;3;1;3;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;1;2;1;1;1;1;2;1;80;2;;60;61;1;0;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;45;2;6;2;0;0;6;2;6;1;1;1;3;3;1;2;;1;2;;2;2;2;2;5;3;3;2;3;3;3;1;4;2;1;2;2;4;2
1833;2;1;2;1;24;9;3;8;8;1;1;3;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;1;3;2;1;1;2;3;240;30;;;;0;1;0;3;2;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;24;9;5;4;0;0;6;2;3;1;1;2;3;3;1;1;3;;2;;2;1;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5;5;5
1834;2;1;1;6;17;9;2;1;2;3;2;3;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;2;3;1;1;1;1;1;4;3;540;10;;5;45;1;0;3;3;;2;2;2;2;2;2;2;2;4;4;4;4;1;;;;1;17;9;3;2;0;0;5;2;3;2;2;2;4;3;2;1;3;;2;;2;2;1;1;1;1;1;1;1;1;1;4;4;2;4;2;2;2;3
1835;2;2;2;1;53;7;2;4;5;2;1;5;8;1;2;;3;;2;2;;1;2;2;2;1;2;2;2;2;2;2;10;1;1;1;5;2;2;3;2;2;0;0;;;;5;0;0;4;2;2;2;2;2;2;2;2;2;4;4;3;3;5;;;;1;53;7;6;3;1;0;4;;6;2;1;1;3;3;1;1;1;;1;4;;2;1;3;3;3;2;2;3;3;4;2;4;1;1;1;1;4;1
1836;2;1;1;10;31;10;4;7;7;3;3;4;7;2;;2;1;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;3;1;1;1;1;1;2;2;105;3;;30;20;0;0;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;31;10;5;2;0;0;6;4;2;1;1;1;2;3;2;1;3;;1;3;;2;1;1;2;3;1;2;3;4;3;1;2;1;1;1;1;5;5
1837;2;1;2;10;53;7;2;7;7;3;3;5;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;2;1;2;2;1;180;100;;;30;3;0;0;2;2;2;2;2;2;2;1;2;2;4;4;2;4;;;;;1;53;7;5;2;0;0;3;;6;1;1;1;2;1;2;1;3;;1;5;;2;1;2;1;3;1;2;2;3;3;2;2;1;2;5;2;4;2
1838;2;2;1;2;59;5;4;1;5;3;1;4;11;2;;2;3;;2;2;;3;2;3;2;2;3;2;2;2;2;2;10;1;1;1;1;1;1;1;1;1;0;0;;;;0;1;0;5;;2;2;3;2;2;2;2;2;4;4;2;4;5;;;;1;59;5;3;3;1;0;4;;6;1;1;2;2;3;2;1;3;;1;5;;2;3;3;3;3;3;3;3;3;3;1;2;2;1;2;1;2;1
1839;2;1;1;6;13;12;4;1;3;3;6;1;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;3;1;1;1;1;2;2;2;240;1;30;;;1;1;2;3;;2;2;2;2;2;2;2;2;4;4;2;4;3;;;;1;13;12;4;4;2;0;6;1;3;2;1;2;3;2;1;2;;3;2;;4;2;1;3;3;4;3;3;2;3;3;3;1;1;2;2;2;1;1
1840;2;2;1;2;85;7;1;1;5;7;1;2;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;3;2;1;6;3;3;1;2;1;0;2;;27;28;1;1;1;4;;2;2;2;2;2;2;2;2;2;3;3;4;4;;;;1;85;7;5;2;0;0;4;;5;2;1;2;3;2;1;1;2;;2;;1;1;3;2;2;3;2;3;2;3;2;2;3;2;3;3;3;1;3
1841;2;2;2;5;80;5;4;1;5;2;1;8;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;3;2;2;2;1;1;1;2;120;12;;30;40;0;0;0;4;2;1;2;2;2;2;2;2;2;1;1;3;3;4;;;;1;80;5;4;2;0;0;4;;4;1;1;2;2;3;2;1;3;;2;;3;2;1;1;2;3;2;3;2;2;2;2;4;2;2;1;1;4;2
1842;2;1;2;5;78;1;5;1;3;4;6;8;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;3;3;6;1;1;1;1;2;4;0;0;;;;0;0;0;2;2;2;2;2;2;2;2;2;2;4;1;4;2;3;;;;1;78;1;3;4;2;0;6;5;3;1;1;3;1;1;2;1;2;;1;4;;2;2;2;2;3;2;2;2;2;3;5;4;1;1;2;2;3;5
1843;2;1;1;10;63;11;4;7;7;3;3;6;7;2;;2;3;;2;2;;2;2;1;2;2;2;2;1;2;2;2;10;2;3;2;4;1;1;2;2;2;180;4;;74;40;5;1;0;2;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;2;43;11;6;2;0;2;6;1;2;1;2;2;4;3;1;2;;3;2;;1;1;2;2;2;2;2;2;1;2;3;3;4;3;2;4;3;4;2
1844;2;1;2;1;85;7;3;8;8;1;1;10;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;2;6;6;1;1;2;1;2;15;0;;;;1;0;0;2;2;2;2;2;2;2;2;2;2;3;3;4;4;;;;;1;85;7;5;5;1;0;6;5;6;2;1;2;3;2;1;2;;3;2;;2;2;1;2;2;3;2;2;2;3;2;3;1;3;1;2;3;2;2
1845;2;1;1;4;95;1;5;1;4;2;4;5;2;1;3;;1;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;4;2;2;3;1;1;5;2;600;15;;20;10;1;1;7;4;;2;2;2;2;2;2;2;2;4;4;4;4;1;;;;1;95;1;3;2;0;0;2;;3;1;2;2;3;2;1;2;;3;2;;5;2;2;3;2;3;2;2;2;2;3;4;4;3;4;3;3;4;2
1846;2;2;2;4;46;10;1;2;3;1;1;7;2;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;2;6;6;2;1;1;2;2;150;10;;40;30;0;2;0;2;2;2;2;2;2;2;2;2;2;2;1;3;2;3;;;;1;46;10;5;3;2;0;6;4;2;1;1;2;2;1;1;1;3;;1;1;;2;1;1;2;2;2;2;2;3;1;2;3;2;1;2;2;4;2
1847;2;1;2;7;30;10;2;1;5;3;9;6;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;5;1;1;2;1;1;2;4;75;50;;;;0;2;0;3;2;2;2;2;2;2;2;2;2;4;4;4;4;2;;;;1;30;10;4;4;4;0;5;4;6;1;1;2;3;2;1;2;;3;2;;4;2;2;2;2;2;2;2;2;2;2;2;5;2;2;2;2;5;5
1848;2;1;2;10;94;1;5;7;7;3;3;4;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;3;3;1;1;1;1;5;2;90;4;;;;1;0;0;3;2;2;2;2;2;2;1;2;2;4;4;4;4;;;;;1;94;1;6;2;0;1;6;4;3;2;1;1;3;2;2;1;1;;1;1;;2;2;2;2;3;2;3;2;2;3;2;2;2;2;2;1;2;1
1849;2;2;2;1;17;9;4;4;5;1;1;5;4;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;3;1;2;1;5;2;2;5;30;6;;25;25;4;0;0;2;2;2;2;2;2;2;2;2;2;3;3;4;3;7;;;;1;17;9;7;4;0;0;3;;6;2;1;2;3;2;1;1;3;;2;;3;2;2;4;4;4;5;4;4;4;4;1;2;2;1;1;1;5;4
1850;2;2;1;5;95;1;5;1;6;3;1;2;3;2;;2;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;1;2;1;2;1;1;1;2;4;240;2;;;;4;0;0;3;;2;2;1;2;2;2;2;2;4;4;4;4;5;;;;1;95;1;5;4;2;0;2;;6;1;1;2;2;3;2;2;;3;2;;2;2;1;2;3;4;3;3;2;3;3;3;2;5;2;5;2;3;5
1851;2;2;2;8;6;12;4;2;5;5;11;11;11;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;4;1;1;1;1;1;1;2;600;5;;70;60;1;2;0;3;2;2;2;2;2;2;2;2;2;4;4;4;4;1;;;;1;6;12;2;1;0;0;1;;6;2;1;1;3;1;2;2;;3;1;4;;2;1;2;2;2;2;2;2;2;3;4;4;4;4;4;4;4;3
1852;2;1;2;8;71;3;3;7;7;5;4;8;1;2;;2;3;;2;2;;2;2;2;2;1;2;2;2;2;2;2;10;1;2;1;1;1;1;1;2;1;90;0;;;;1;0;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;71;3;3;1;0;0;6;4;2;1;1;2;3;3;1;2;;3;1;4;;2;2;2;2;3;2;2;3;4;2;1;1;2;1;2;2;1;2
1853;2;2;1;3;94;1;5;1;4;2;8;7;3;2;;2;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;1;2;2;2;6;2;660;15;;40;40;1;1;3;4;;2;2;2;2;2;2;2;2;3;3;4;3;1;;;;1;94;1;3;2;0;0;4;;5;2;1;2;3;2;1;1;3;;2;;4;2;1;2;2;2;2;2;2;2;2;5;5;5;2;5;2;1;5
1854;2;3;1;6;35;8;4;4;5;1;2;4;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;4;1;1;2;2;2;2;2;63;3;;;;3;0;0;3;;2;2;2;2;2;2;2;2;3;4;4;4;7;;;;1;35;8;4;1;0;0;4;;1;2;1;2;4;3;2;1;3;;1;5;;1;1;2;2;3;2;2;2;2;3;3;4;2;3;3;5;3;4
1855;2;1;2;9;24;9;3;1;6;1;2;7;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;4;1;2;1;1;1;1;3;1;2;135;3;;;;0;1;0;4;2;2;2;2;2;2;1;2;2;4;4;4;4;5;;;;1;24;9;3;1;0;0;2;;6;1;1;1;4;4;2;1;3;;1;4;;2;1;1;2;2;1;2;1;1;3;5;5;5;3;5;5;5;5
1856;2;2;1;5;78;1;5;1;6;4;5;9;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;1;2;2;2;7;2;3;2;1;2;3;1;2;1;600;30;;;;0;0;0;3;;2;2;2;2;2;2;3;2;4;4;4;4;1;;;;2;95;1;3;4;2;0;5;1;6;1;1;1;4;2;1;1;2;;1;4;;1;4;2;2;2;3;3;4;2;4;3;3;4;3;3;4;3;4
1857;2;2;1;5;67;6;2;4;6;3;5;2;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;4;1;2;2;3;2;2;4;0;0;;;;0;6;0;4;;2;2;2;2;2;2;2;2;4;4;4;3;5;;;;2;67;6;4;3;1;0;3;;2;1;1;2;3;3;2;2;;3;1;4;;2;2;3;3;3;2;4;4;2;3;2;5;4;2;3;4;4;4
1858;2;2;1;3;69;11;4;3;3;3;3;2;1;2;;2;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;3;2;4;3;2;4;1;2;3;0;5;;25;25;3;2;0;2;;2;2;2;2;2;2;2;2;3;4;4;3;6;;;;1;69;11;15;4;0;0;6;2;4;1;2;2;3;2;2;2;;2;1;3;;1;2;2;2;3;3;3;2;3;3;3;3;3;2;5;4;3;3
1859;2;3;2;10;21;3;1;7;7;5;2;4;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;2;2;0;0;;;;1;2;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;21;3;3;1;0;1;4;;2;2;1;2;3;2;1;2;;3;1;2;;2;2;2;2;2;3;2;2;2;3;1;3;2;2;2;1;5;3
1860;2;1;2;7;89;3;1;2;4;3;1;10;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;3;1;1;2;1;1;2;3;120;0;;;;0;1;4;2;2;2;2;2;2;2;2;2;2;4;3;1;4;1;;;;1;89;3;4;3;0;0;4;;6;1;1;2;2;1;1;1;3;;2;;5;2;2;3;3;3;3;3;3;3;3;3;2;3;2;1;4;4;5
1861;2;1;2;3;78;1;5;1;5;4;1;8;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;1;0;0;;;;0;0;0;2;2;2;2;2;2;2;2;2;2;3;4;3;4;3;;;;1;78;1;2;2;1;0;5;5;6;2;1;2;3;2;1;2;;3;2;;4;1;2;3;3;3;3;3;3;2;3;5;5;5;5;5;5;5;5
1862;3;2;1;5;78;1;5;1;6;3;2;1;10;1;3;;2;;2;2;;2;2;2;1;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;1;1;0;10;;38;6;0;0;6;3;;2;2;3;2;2;2;2;3;2;2;1;2;2;;;;1;78;1;3;2;2;0;4;;5;1;1;1;2;1;1;2;;1;1;1;;2;2;2;2;2;3;3;3;3;3;1;1;1;1;1;2;1;1
1863;2;2;1;6;51;6;4;4;6;5;5;1;2;1;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;3;2;1;1;2;2;1;2;90;10;;35;35;0;2;0;3;;2;2;2;2;2;2;2;2;3;2;2;3;7;;;;1;51;6;3;1;0;0;3;;4;2;1;2;3;1;2;2;;3;1;3;;2;1;3;2;4;4;4;3;3;4;2;2;2;1;3;1;2;4
1864;2;1;1;10;33;9;4;7;7;6;3;8;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;3;6;2;1;1;1;2;2;90;0;;;;0;5;0;3;;1;2;2;2;2;2;2;2;4;3;4;3;;;;;1;33;9;6;1;0;1;6;4;1;2;1;2;3;2;1;1;3;;2;;3;1;2;2;2;3;2;2;2;2;3;4;5;4;4;5;3;4;5
1865;2;2;2;2;48;10;1;1;5;7;10;9;3;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;7;4;4;4;4;2;1;1;1;2;0;3;;45;26;7;4;0;2;2;2;2;2;2;2;2;3;2;4;4;4;4;5;;;;1;48;10;6;4;2;0;2;;5;2;1;2;2;2;1;1;3;;1;2;;2;1;3;3;4;4;4;3;3;4;1;1;2;1;1;1;2;1
1866;2;1;1;4;91;1;5;1;6;3;1;5;10;2;;2;1;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;3;1;220;2;;33;29;4;0;2;3;;2;2;2;2;2;2;2;2;2;3;4;2;1;;;;1;91;1;3;3;1;0;6;2;4;2;1;1;1;2;2;1;3;;2;;2;2;2;2;4;3;2;2;2;2;3;1;3;2;1;1;2;3;1
1867;2;2;1;1;69;11;4;1;5;3;3;10;5;1;1;;1;2;1;1;42.5;1;1;1;1;1;3;2;1;2;1;2;10;2;1;3;1;1;1;3;1;1;180;6;;12;26;2;13;0;2;;2;2;2;2;2;1;1;1;1;1;1;1;2;;;;1;69;11;5;3;1;0;6;1;3;1;1;1;1;1;1;2;;1;2;;1;1;1;1;3;1;1;2;1;2;1;3;1;2;1;2;1;1;2
1868;2;2;2;1;93;1;5;2;5;2;5;4;9;2;;2;3;;1;2;;2;2;2;1;1;2;2;2;2;2;2;6;2;2;1;1;4;3;4;2;3;930;10;;22;40;2;1;0;2;2;2;3;2;2;2;2;3;2;2;1;1;2;5;;;;1;93;1;5;5;1;0;5;5;6;2;1;2;2;3;1;2;;3;1;2;;2;4;3;3;4;2;2;2;4;3;5;2;3;2;4;2;2;2
1869;2;1;1;8;13;12;4;1;3;3;1;2;5;2;;2;3;;1;2;;3;2;2;2;2;3;2;2;3;3;2;5;1;2;1;2;2;1;1;3;1;80;3;;35;;1;1;1;2;;2;2;2;2;2;2;2;2;2;2;2;1;3;;;;2;6;12;4;4;2;0;6;1;3;1;1;1;4;3;1;1;1;;1;1;;1;4;2;2;1;2;4;2;1;2;2;3;3;2;3;3;3;2
1870;2;1;1;7;57;6;1;1;4;3;9;10;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;2;2;4;1;2;4;2;720;1;43;;;0;0;5;3;;2;2;2;2;2;2;2;2;4;3;4;4;1;;;;1;57;6;5;2;0;0;4;;4;1;1;2;4;2;1;1;3;;2;;3;2;2;3;3;3;2;3;2;4;3;2;4;2;2;2;2;2;2
1871;2;1;2;10;62;5;3;7;7;3;1;10;6;2;;2;3;;2;2;;2;2;2;2;2;1;2;2;2;2;2;9;1;3;1;3;1;1;1;2;2;210;14;;70;69;3;1;0;2;2;2;2;2;2;2;2;2;2;3;3;4;3;;;;;1;62;5;6;2;0;1;2;;4;2;1;1;3;1;1;2;;1;2;;2;2;2;3;3;4;4;4;3;3;3;2;2;1;1;1;1;1;1
1872;2;1;2;10;24;9;2;7;7;5;3;1;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;4;1;1;6;1;2;1;1;1;1;40;0;;;;0;0;0;3;2;2;1;2;2;2;2;3;2;3;4;4;3;;;;;1;24;9;3;1;0;0;5;4;2;2;1;2;3;1;2;1;3;;1;4;;1;1;2;2;2;2;2;2;3;3;2;5;1;2;1;2;5;5
1873;2;1;1;5;92;1;5;1;2;2;1;3;5;2;;3;3;;1;2;;2;2;2;2;1;2;2;1;2;2;2;8;1;1;2;2;2;1;1;6;1;570;50;;5;30;1;0;5;2;;2;2;2;2;2;2;2;2;4;4;3;4;1;;;;1;92;1;2;3;1;0;5;1;4;2;1;2;3;2;2;1;2;;1;1;;2;2;2;2;3;2;2;2;3;2;2;5;2;4;3;1;2;2
1874;2;1;2;3;57;6;3;1;6;3;4;2;8;1;3;;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;3;2;2;1;1;1;1;2;2;0;2;;62;12;2;0;0;3;2;2;2;2;2;2;2;2;2;4;4;4;4;1;;;;1;57;6;3;2;0;0;5;5;6;1;2;1;2;2;1;2;;1;1;2;;2;1;2;2;2;2;2;2;2;2;3;3;3;3;2;3;3;3
1875;2;2;1;6;33;9;2;5;8;2;3;4;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;3;1;1;1;1;1;2;2;0;0;;;;0;1;0;3;;2;2;2;2;2;2;2;2;3;3;3;3;;;;;1;33;9;8;2;0;0;5;1;6;2;2;3;3;2;2;1;1;;1;2;;2;1;2;2;2;2;3;2;2;2;3;3;3;3;3;2;4;4
1876;2;1;2;10;59;5;4;7;7;3;1;8;3;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;4;3;2;1;1;1;2;1;0;1;40;;;3;0;0;3;2;2;2;2;2;2;1;2;2;3;4;4;4;;;;;1;59;5;5;2;0;2;5;5;6;2;1;2;4;3;1;1;3;;1;3;;2;3;3;3;3;3;3;3;3;3;2;2;1;1;1;1;1;1
