SERIAL;JOURV6;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A2BIS;A3_0;A3_1;A3BIS;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A6_5;A6_6;A6_7;A6_8;A6_9;A6_10;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;B6Q_0;B6Q_1;B6Q_2;C1C2;C3;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C5_4;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;C11;D52_0;D52_1;D52_2;D52_3;D52_4;D52_5;D52_6;D53_0;D53_1;D53_2;D53_3;D53_4;D53_5;D53_6;D54_0;D54_1;D54_2;D54_3;D54_4;D54_5;D54_6;D55_0;D55_1;D55_2;D55_3;D55_4;D56_0;D56_1;D56_2;D56_3;D56_4;D56_5;D56_6;D57_0;D57_1;D57_2;D57_3;D57_4;D58_0;D58_1;D58_2;D58_3;D58_4;D59_0;D59_1;D59_2;D59_3;D59_4
3701;3;1;1;10;2;5;3;7;7;5;1;3;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;3;2;3;1;1;1;2;2;240;5;;;;;5;0;0;0;2;;2;2;2;2;2;2;2;2;3;4;4;4;3;;;;;1;2;5;5;1;0;1;6;1;5;0;2;3;5;2;5;;;;;;;;;;;;;;;2;2;3;1;2;4;2;2;3;4;5;2;3;3;3;2;3;2;2;2;2;3;5;5;5;5;3
3702;3;1;2;6;76;4;3;4;4;1;5;2;7;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;2;2;5;5;2;2;2;3;4;302;1;;;;;2;0;0;0;3;2;2;2;2;2;2;2;2;2;4;4;4;4;4;5;;;;1;76;4;5;2;1;1;4;;10;5;5;10;10;10;2;1;;;1;1;2;;1;;;1;1;1;;2;3;1;1;3;2;4;5;4;1;2;3;3;3;2;2;2;3;3;3;3;3;1;1;1;1;1
3703;3;1;2;7;69;11;4;6;8;7;1;2;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;1;2;1;1;2;1;210;3;;;;;3;0;1;0;2;2;2;2;2;2;2;2;2;2;3;4;4;3;2;;;;;1;69;11;4;5;2;0;6;3;0;0;0;2;10;2;0;;;;;1;;;;;;;2;;;1;1;1;1;1;2;4;5;5;2;2;4;3;2;2;2;1;4;4;2;2;2;3;3;3;2;1
3704;3;1;1;9;66;10;2;7;7;3;1;5;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;1;2;7;1;2;1;2;2;1;1;1;2;90;1;;;;;10;0;0;0;3;;2;2;2;2;2;2;2;3;3;3;3;2;3;;;;;1;66;10;6;2;0;2;4;;7;2;7;7;8;4;2;1;;2;2;1;;;2;;3;3;1;;;3;3;1;3;2;2;4;4;2;1;2;5;3;2;2;1;2;3;2;1;2;2;2;3;3;4;3
3705;3;1;2;7;51;6;1;6;8;3;1;5;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;2;1;2;1;1;2;2;60;5;;;;;4;0;0;0;4;2;3;2;2;2;2;3;2;2;3;3;3;2;1;;;;;1;51;6;5;6;1;0;6;4;0;0;0;0;0;0;0;;;;;;;;;;;;;;;2;2;1;2;1;4;5;2;5;4;5;4;2;3;2;2;2;3;2;2;2;3;2;3;3;2;1
3706;3;1;1;10;78;1;5;7;7;3;8;4;2;2;;2;3;;1;2;;2;2;2;2;2;1;2;2;1;2;2;7;1;2;3;2;2;1;1;2;2;90;2;;;;;0;0;0;0;4;;1;2;1;2;2;2;2;2;4;4;4;4;4;;;;;1;78;1;4;2;0;1;6;4;3;1;4;8;8;4;2;;;;2;2;;;;;;2;1;;;3;1;2;1;3;3;4;4;5;2;4;4;2;1;3;2;1;3;3;1;3;2;2;2;2;2;3
3707;3;2;1;6;66;10;4;1;4;4;5;6;3;2;;2;3;;1;2;;3;2;2;2;2;2;2;2;2;2;2;5;1;1;1;1;2;1;1;3;1;525;1;2;4;;;5;1;2;2;2;;2;2;2;2;2;2;2;2;4;4;4;4;3;1;3;;;1;66;10;5;3;2;0;6;2;9;4;6;8;10;7;7;1;;2;1;1;2;2;1;;3;1;1;1;2;4;4;4;4;4;2;4;4;2;1;2;3;3;3;3;2;3;2;1;1;1;1;5;1;2;2;1
3708;3;1;1;9;93;1;5;7;7;5;2;10;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;1;2;2;1;1;3;4;240;1;2;;;;3;2;1;0;4;;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;93;1;2;1;0;0;3;;10;10;10;10;10;5;10;1;1;1;1;1;;1;1;1;1;1;1;;1;3;3;3;2;4;5;4;4;5;5;3;4;3;3;3;3;3;3;3;2;2;2;2;2;3;2;2
3709;3;2;2;1;69;11;4;8;8;1;5;1;6;1;5;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;2;1;2;2;2;150;5;;;;;2;2;0;0;2;2;2;2;2;2;2;2;3;2;4;4;4;4;3;;;;;2;95;1;7;5;0;0;4;;6;5;5;7;10;8;8;4;;;4;4;4;4;4;;;4;2;3;4;1;2;2;1;4;2;4;1;1;1;1;4;2;2;1;2;1;4;4;4;4;4;2;2;2;2;1
3710;3;3;2;2;59;5;4;1;4;3;1;8;6;2;;2;2;;2;3;;2;2;2;2;1;2;2;2;2;2;1;10;1;1;2;1;1;1;1;1;1;60;1;;;;;8;2;3;0;2;2;1;2;2;2;2;1;2;2;2;1;1;2;1;3;;;;1;59;5;6;2;2;0;5;2;2;0;0;1;0;0;1;;;;;;;;;;;;;;;1;1;1;1;2;1;6;2;1;1;2;1;2;2;3;2;3;2;1;1;1;3;2;2;2;3;3
3711;3;1;1;10;60;5;1;7;7;2;1;8;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;6;4;3;2;5;6;2;2;0;;;;;;2;1;0;0;2;;2;2;2;2;2;2;2;2;3;4;4;4;3;;;;;1;60;5;5;2;0;2;4;;5;1;1;2;1;1;2;;;;;;;;;;;;;;;2;4;2;2;4;2;3;2;3;1;4;3;2;2;2;3;3;2;2;2;2;2;3;3;3;3;3
3712;3;2;1;7;77;1;1;1;4;5;1;5;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;3;1;1;1;1;1;1;1;120;3;;;;;1;0;0;0;4;;2;2;2;2;2;2;2;2;4;4;4;4;4;4;;;;1;77;1;5;2;0;0;3;;9;10;10;9;0;10;10;4;4;4;3;;3;4;4;4;4;3;;3;4;2;1;3;1;3;1;1;1;1;1;1;1;2;3;2;2;2;1;1;3;3;3;4;4;4;4;2
3713;3;1;2;3;33;9;4;2;4;1;2;3;5;2;;2;3;;2;2;;1;2;2;2;2;2;2;2;2;2;2;7;1;1;1;1;2;1;2;2;2;150;5;;;;;2;3;1;0;2;2;2;2;2;2;2;2;2;2;3;2;3;3;4;2;3;;;1;33;9;4;4;0;0;6;4;8;0;6;2;10;4;2;2;;2;;1;;;3;;3;;1;;;2;3;3;3;3;2;3;5;2;2;5;3;3;1;3;2;2;2;2;3;3;2;2;3;3;3;2
3714;3;1;1;7;56;8;2;1;6;1;1;2;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;4;1;2;3;1;1;1;1;2;2;30;1;;;;;0;0;2;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;4;1;;;;1;56;8;6;1;0;0;3;;1;1;1;1;5;1;1;;;;;;;;;;;;;;;3;4;2;2;3;5;5;5;5;5;3;4;3;2;2;2;3;3;2;1;1;2;3;3;4;3;3
3715;3;3;1;10;57;6;4;7;7;5;3;4;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;1;2;1;1;1;1;3;3;510;1;2;3;;;2;0;11;0;3;;2;2;2;2;2;2;2;2;4;3;3;4;4;;;;;1;57;6;3;1;0;1;6;4;8;0;10;10;5;8;8;3;;1;1;;3;2;1;;2;1;;3;3;3;3;2;2;3;5;4;3;5;5;5;5;3;3;4;3;3;4;2;1;3;2;4;4;3;3;3
3716;3;1;1;1;80;5;2;8;8;1;1;9;7;3;;;3;;1;2;;2;2;2;3;3;3;2;2;2;2;2;5;5;5;4;5;5;5;5;3;4;0;;;;;;1;0;0;0;5;;3;3;3;3;3;3;3;3;4;4;4;4;4;;;;;1;80;5;;1;0;0;6;5;0;0;0;0;0;0;0;;;;;;;;;;;;;;;3;3;3;3;3;5;5;5;5;5;5;4;4;4;4;4;4;3;3;4;4;4;3;3;3;3;3
3717;3;1;2;9;83;12;3;7;7;5;3;6;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;6;1;1;1;1;1;1;6;90;1;5;;;;0;7;0;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;83;12;4;1;0;0;4;;1;1;1;1;10;10;1;;;;;1;5;;;;;;1;5;;4;4;2;1;2;2;4;4;2;1;2;3;3;2;2;2;3;2;2;2;2;2;3;3;4;4;4
3718;3;1;1;10;75;1;5;7;7;3;8;5;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;2;1;1;1;2;2;105;2;;;;;0;0;0;0;3;;1;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;75;1;5;2;0;2;2;;5;3;0;7;10;7;5;;;;2;2;2;;;;;1;1;1;;3;3;2;1;3;3;1;2;4;3;3;4;2;1;3;2;2;3;4;2;3;3;2;2;3;3;3
3719;3;1;2;10;51;6;4;7;7;2;1;4;6;2;;2;3;;3;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;2;1;1;2;1;1;2;2;310;1;;;;;7;1;0;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;51;6;3;2;0;0;4;;5;2;5;5;5;4;2;;;;;;;;;;;;;;;2;3;2;2;3;2;2;2;2;2;2;2;3;3;3;2;3;2;2;2;2;2;3;2;3;3;3
3720;3;1;2;10;75;1;5;7;7;3;6;1;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;3;1;1;1;1;1;60;1;;;;;8;0;0;0;2;2;2;2;2;2;2;2;2;2;4;1;4;3;1;;;;;1;75;1;5;4;0;2;4;;0;0;0;9;2;5;0;;;;4;;;;;;;3;;;;2;2;3;1;3;2;3;2;2;1;5;4;3;2;3;2;2;2;2;2;2;2;2;4;4;3;3
3721;3;2;2;10;75;1;5;7;7;1;9;7;11;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;3;1;1;1;1;1;2;1;120;6;;;;;1;1;0;0;4;2;1;3;2;2;2;2;2;2;3;4;3;3;1;;;;;1;75;1;3;1;0;1;3;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;5;3;5;5;5;6;6;2;6;6;6;6;5;2;5;5;5;2;5;5;5;5;5;2;5;5;5
3722;3;1;1;10;60;5;3;7;7;3;1;6;8;2;;2;3;;1;2;;2;2;1;2;2;2;2;2;2;1;2;9;2;2;4;1;1;1;1;2;2;180;1;;;;;0;5;0;0;3;;2;2;2;2;2;1;2;2;4;4;4;4;3;;;;;1;60;5;5;2;0;1;5;1;5;0;10;7;0;0;0;;;5;3;;;;;;4;4;;;;3;4;4;2;3;4;1;2;4;4;4;2;3;2;3;3;3;3;1;1;2;2;3;3;4;4;3
3723;3;1;2;1;68;6;3;1;6;2;6;1;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;3;2;2;1;3;4;1;2;3;4;660;2;4;;;;30;5;0;4;3;2;2;2;2;2;2;2;2;1;4;3;4;4;3;1;;;;1;68;6;2;2;0;0;6;5;1;6;1;5;10;1;1;;1;;;1;;;;1;;;1;;;3;4;2;3;4;5;3;5;2;1;2;4;4;3;4;2;4;2;2;3;3;1;1;1;1;3;3
3724;3;2;1;8;44;7;4;2;6;3;1;5;8;2;;2;3;;2;2;;2;2;2;2;2;2;3;2;2;2;2;8;3;4;3;2;1;1;6;2;3;120;1;;;;;3;3;0;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;4;5;;;;2;;13;5;2;0;0;4;;5;5;1;6;6;2;1;;;;3;3;;;;;;3;2;;;3;3;2;2;3;1;5;5;5;1;5;1;2;2;3;3;3;2;2;1;1;2;3;2;2;3;2
3725;3;2;2;4;2;5;1;1;6;7;10;3;1;2;;2;3;;2;2;;2;3;2;3;2;3;3;2;2;3;2;8;1;1;1;1;1;1;1;6;4;420;4;;;;;2;0;0;1;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;1;;;;1;2;5;5;2;1;0;5;2;6;4;3;5;10;10;4;3;;;;1;2;;3;;;;1;2;;3;3;3;2;3;5;5;5;5;5;5;1;2;2;2;2;2;3;3;3;3;3;1;1;3;1;1
3726;3;1;2;8;72;7;4;1;4;4;8;3;2;2;;2;3;;2;2;;2;2;2;2;1;2;2;2;2;2;2;4;1;2;1;5;1;1;1;2;2;1410;1;3;4;;;15;0;1;6;2;2;2;2;2;2;2;2;2;2;3;3;4;3;3;1;;;;1;72;7;5;2;1;0;6;3;10;2;4;10;10;10;10;4;;;4;1;1;2;2;;;2;1;1;2;4;4;4;4;4;4;2;2;2;4;2;2;4;3;4;4;3;4;4;3;3;1;2;2;2;4;4
3727;3;1;1;9;2;5;3;7;7;3;1;5;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;2;2;3;1;2;1;2;2;180;1;3;;;;2;2;0;0;4;;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;2;5;5;2;0;0;3;;5;5;3;5;5;6;5;;;;;;3;;;;;;;3;;3;3;3;3;3;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2
3728;3;3;1;10;95;1;5;7;7;3;8;7;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;1;1;1;1;1;2;1;60;1;3;;;;0;0;0;0;4;;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;2;58;3;4;2;0;0;6;1;5;1;5;5;5;5;2;;;;;;;;;;;;;;;2;1;1;1;2;4;1;5;5;4;5;5;2;2;3;2;2;4;4;1;3;2;3;2;3;3;3
3729;3;2;2;10;59;5;4;7;7;1;1;6;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;1;1;2;2;3;65;2;;;;;0;0;0;0;3;2;2;2;2;2;3;2;2;2;3;4;4;2;4;;;;;1;59;5;2;1;0;0;2;;8;6;0;3;0;5;2;5;4;;;;;;5;4;;;;;;2;2;3;2;1;5;4;4;5;1;5;5;2;2;2;2;2;4;4;4;3;3;2;2;2;2;2
3730;3;2;2;10;34;10;4;7;7;3;5;8;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;2;1;300;1;2;;;;10;0;1;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;34;10;4;2;0;0;3;;0;0;0;5;2;4;0;;;;;;;;;;;;;;;2;1;2;1;1;1;4;5;3;1;3;3;2;2;2;1;2;3;3;3;3;2;3;3;3;3;3
3731;3;1;1;10;71;3;3;7;7;3;10;1;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;1;9;1;2;4;3;1;1;1;2;2;120;1;2;;;;0;0;0;0;4;;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;71;3;5;2;0;1;2;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;1;4;4;2;4;3;1;1;1;4;2;1;2;2;2;1;2;2;2;2;2;1;3;2;2;2;2
3732;3;1;1;10;17;9;1;7;7;3;6;5;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;3;2;1;1;1;1;2;1;120;1;3;;;;8;0;0;0;4;;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;;1;17;9;4;2;0;2;2;;3;0;0;6;1;0;0;;;;3;;;;;;;3;;;;4;3;4;3;4;3;2;2;5;3;5;2;3;2;3;3;2;3;3;3;3;2;4;4;4;4;4
3733;3;1;1;7;33;9;4;1;4;3;1;6;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;1;1;5;1;1;1;3;4;630;4;;;;;0;0;0;12;3;;2;2;2;2;2;2;2;2;4;4;4;4;4;1;;;;1;33;9;5;4;1;0;4;;3;0;3;5;1;0;0;;;;;;;;;;;;;;;3;4;4;3;2;4;1;2;3;4;3;4;3;3;4;3;3;2;2;2;2;2;3;3;3;4;4
3734;3;2;2;1;85;7;3;8;8;1;3;1;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;6;2;6;1;1;1;3;6;60;2;;;;;2;1;0;0;2;2;3;2;3;2;2;3;2;2;3;3;4;4;3;;;;;2;17;9;7;3;1;0;5;5;10;2;10;6;2;2;2;1;;1;2;;;;2;;3;3;;;;2;3;3;3;3;1;3;1;5;1;2;3;3;1;3;1;2;2;2;2;2;2;3;3;4;2;3
3735;3;1;2;4;38;11;1;1;6;7;1;8;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;3;1;1;1;1;1;2;2;180;3;;;;;2;0;1;0;3;1;2;2;2;2;2;2;2;2;3;3;3;3;3;4;;;;1;38;11;4;2;0;0;1;;10;10;10;8;7;10;10;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;1;2;2;2;2;1;3;4;4;3;4;1;1;2;2;2;2;2;2;2;2;3;3;3;3;3
3736;3;2;2;3;45;2;4;6;8;3;1;8;6;2;;2;3;;2;2;;2;2;2;1;1;2;2;2;2;2;2;10;1;1;1;2;1;2;1;2;5;0;;;;;;0;0;3;0;3;2;2;2;2;2;2;2;1;2;4;3;3;3;1;;;;;1;45;2;4;2;2;0;6;2;5;7;7;6;10;6;5;;2;2;2;2;3;;;2;2;3;2;3;;3;3;1;2;3;1;4;2;1;1;1;3;2;2;3;2;2;2;3;1;3;2;2;1;2;3;1
3737;3;1;1;10;13;12;4;7;7;6;1;9;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;6;1;1;1;1;1;1;2;0;;;;;;0;0;0;0;4;;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;13;12;5;1;0;1;5;1;3;2;3;7;3;3;3;;;;2;;;;;;;2;;;;3;4;3;4;4;5;1;2;5;4;5;1;3;2;2;2;2;3;4;2;2;5;3;3;3;3;3
3738;3;1;1;10;81;10;1;7;7;3;1;8;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;1;1;1;1;1;1;3;2;215;1;2;;;;20;0;0;0;4;;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;81;10;5;2;0;1;5;1;7;1;0;1;10;4;5;3;;;;2;;;3;;;;2;;;3;3;2;2;3;2;3;5;2;2;2;3;3;2;3;2;3;2;2;1;1;2;3;2;4;3;3
3739;3;1;2;6;31;10;2;1;6;1;2;3;5;2;;2;3;;2;2;;2;2;2;1;2;2;2;2;2;2;2;2;1;4;4;5;2;1;1;1;5;0;;;;;;0;0;1;0;4;2;2;2;2;2;2;2;2;2;3;3;4;1;1;2;;;;1;31;10;3;1;0;0;7;5;10;5;5;5;10;0;0;3;;;;3;;;3;;;;2;;;4;4;4;4;4;5;5;5;5;5;5;5;4;3;4;3;3;1;2;2;2;2;4;4;4;4;4
3740;3;1;2;8;59;5;4;7;7;1;1;3;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;3;3;3;1;1;1;2;6;45;2;;;;;0;0;2;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;59;5;5;2;0;0;4;;0;0;5;5;5;0;0;;;;;;;;;;;;;;;2;3;3;1;2;2;3;3;2;1;2;3;2;3;2;2;2;2;2;2;2;2;4;4;4;4;3
3741;3;1;1;10;59;5;4;7;7;3;4;9;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;4;2;1;3;1;1;2;2;270;1;;;;;25;1;7;0;3;;2;2;2;2;2;1;2;2;4;3;4;4;4;;;;;1;59;5;11;2;0;2;6;1;10;8;10;10;5;10;10;1;2;1;1;;1;1;1;2;1;1;;1;1;4;3;3;3;4;2;3;4;2;2;2;3;1;3;1;2;3;2;3;2;2;2;2;2;3;2;2
3742;3;1;1;10;44;7;4;7;7;3;1;8;5;2;;1;3;;2;2;;2;2;2;2;2;2;2;1;2;2;2;9;1;1;2;3;1;1;1;1;2;0;;;;;;0;1;0;0;3;;1;2;1;1;2;2;2;2;4;4;4;4;4;;;;;1;44;7;5;2;0;2;3;;1;0;1;0;0;0;0;;;;;;;;;;;;;;;2;2;2;1;1;2;4;3;2;4;2;4;3;2;3;2;3;3;3;1;1;2;3;2;3;3;3
3743;3;1;2;2;74;11;4;3;2;2;5;1;3;1;4;;3;;2;2;;2;2;2;1;2;2;2;2;2;1;2;7;1;2;1;4;2;1;1;1;1;150;1;2;;;;15;3;0;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2;2;6;;;;1;74;11;1;2;0;0;3;;0;0;0;1;2;3;1;;;;;;;;;;;;;;;2;3;1;2;2;2;3;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;1;1;2;3;2
3744;3;1;1;8;60;5;1;1;6;1;4;8;5;1;3;;2;;1;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;6;1;1;1;1;6;2;3;120;1;5;;;;0;0;1;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;4;5;;;;1;60;5;3;1;0;0;3;;0;0;0;7;10;0;0;;;;4;1;;;;;;2;1;;;3;1;2;1;2;2;4;1;3;1;3;4;2;2;3;2;2;3;2;1;3;1;4;4;4;4;3
3745;3;1;1;2;38;11;2;4;8;1;4;8;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;5;5;3;1;3;2;4;3;4;225;1;3;;;;6;0;3;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;38;11;5;4;0;0;5;1;5;5;4;3;8;6;6;;;;;2;3;3;;;;;2;2;2;3;3;3;2;3;4;1;1;3;4;3;4;2;2;2;2;2;3;3;3;3;3;2;3;3;3;2
3746;3;1;2;10;59;5;4;7;7;2;1;8;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;1;1;1;1;3;0;;;;;;1;0;0;0;3;2;2;2;2;2;2;2;2;2;4;3;4;4;1;;;;;1;59;5;5;2;0;1;4;;0;0;0;3;0;0;0;;;;;;;;;;;;;;;1;1;1;1;1;5;4;4;5;5;5;4;1;3;1;1;1;3;3;2;2;2;3;3;3;3;4
3747;3;2;1;6;68;6;1;1;6;3;1;10;5;1;3;;3;;1;2;;1;2;2;2;1;2;2;2;1;2;2;10;2;2;1;1;1;1;1;2;3;600;2;4;;;;0;4;0;15;2;;2;2;2;2;2;2;1;2;4;3;3;4;2;1;;;;1;68;6;6;3;1;0;5;2;3;3;5;3;8;3;3;;;;;2;;;;;;;2;;;3;4;2;2;3;1;3;3;1;1;1;2;2;2;2;1;2;2;2;3;3;2;3;3;4;4;4
3748;3;1;1;8;62;5;3;7;7;7;2;7;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;1;1;1;1;1;1;2;3;0;;;;;;0;2;0;0;3;;2;2;2;2;2;1;2;2;3;4;4;4;3;;;;;1;62;5;5;4;2;2;5;1;8;1;9;5;8;5;5;2;;2;;2;;;2;;2;;2;;;2;2;3;2;2;2;4;2;3;4;3;4;3;3;3;3;3;2;1;1;1;2;2;2;4;3;2
3749;3;1;1;8;85;7;2;1;6;3;4;1;3;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;2;1;1200;3;4;;;;10;0;0;15;2;;2;2;2;2;2;2;2;2;4;4;4;4;4;1;;;;1;85;7;7;2;0;0;3;;10;8;10;5;10;8;5;5;5;4;;5;5;;3;3;4;;2;3;;1;1;1;1;1;3;1;1;1;3;1;5;1;1;1;1;2;1;1;1;1;1;1;1;1;1;3
3750;3;1;1;7;45;2;4;1;4;3;8;1;9;2;;2;3;;2;2;;1;2;2;2;2;2;2;2;2;2;2;9;1;1;1;2;2;1;1;1;2;105;1;4;;;;0;0;0;4;3;;2;2;2;2;2;2;2;2;3;4;4;2;4;1;;;;1;45;2;5;4;0;0;5;5;4;0;2;1;7;5;1;;;;;3;;;;;;;3;;;2;2;3;1;2;1;4;4;2;1;3;4;2;2;2;2;2;2;2;2;2;2;2;1;2;2;3
3751;3;1;2;4;10;6;1;1;4;3;1;2;8;1;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;1;2;9;2;3;1;1;1;1;1;1;2;0;;;;;;0;0;1;0;3;2;2;2;1;2;2;2;2;2;4;3;4;4;3;3;;;;1;10;6;5;4;2;0;6;4;0;0;0;5;5;0;0;;;;;;;;;;;;;;;1;3;1;1;2;3;1;2;5;4;5;5;1;3;2;1;1;4;3;3;3;2;3;3;4;3;3
3752;3;1;2;2;94;1;5;1;4;1;1;7;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;3;2;1;2;2;1;3;2;720;4;5;;;;2;1;5;3;2;2;2;2;2;2;2;2;2;2;4;3;4;4;3;1;;;;1;94;1;1;1;0;0;6;4;4;0;2;7;8;0;0;;;;3;3;;;;;;3;2;;;3;4;2;3;2;3;3;4;5;1;5;3;3;2;3;2;2;2;2;2;2;2;3;3;4;3;3
3753;3;1;2;1;13;12;4;8;8;1;4;5;2;2;;2;3;;2;2;;2;2;2;1;2;2;2;2;2;2;2;7;2;6;1;1;1;1;1;1;6;0;;;;;;0;0;0;0;4;2;2;1;2;2;2;2;2;2;2;1;1;1;3;;;;;1;13;12;2;1;0;1;6;5;0;0;0;0;0;0;0;;;;;;;;;;;;;;;2;2;1;2;2;2;4;3;3;2;3;3;2;2;2;2;2;2;3;3;3;3;2;2;3;3;2
3754;3;1;1;10;64;9;4;7;7;2;1;8;6;2;;2;3;;2;2;;1;2;2;2;2;2;2;1;2;2;2;9;1;2;1;2;2;1;1;3;1;150;1;;;;;3;2;2;0;3;;2;2;1;2;2;1;2;2;3;4;4;4;1;;;;;1;64;9;4;2;0;2;6;2;7;2;6;8;7;5;7;2;;3;1;2;;4;2;;4;1;3;;3;2;4;1;3;1;1;4;4;3;1;2;4;2;2;2;1;2;2;2;1;1;2;2;1;2;2;4
3755;3;3;1;10;21;3;2;7;7;3;8;1;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;2;1;1;1;1;2;2;90;1;;;;;2;0;0;0;3;;2;2;2;2;2;2;2;2;4;4;4;3;4;;;;;1;21;3;5;2;0;1;3;;10;10;10;2;3;5;10;4;4;4;;;;4;4;4;4;;;;4;3;1;1;1;3;4;2;3;2;4;2;5;2;2;3;2;1;3;2;1;2;2;3;3;3;2;2
3756;3;1;1;6;3;11;3;1;4;2;4;3;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;1;2;3;2;2;4;3;5;5;5;600;1;2;3;4;;20;5;1;3;2;;2;2;2;2;2;2;2;2;3;3;3;3;3;1;;;;1;3;11;5;2;1;0;4;;7;4;10;10;10;10;10;1;;1;1;1;1;2;2;;1;1;1;1;3;4;3;3;3;4;3;4;4;3;2;3;4;4;2;4;4;4;1;1;1;1;1;1;1;2;1;1
